Technology Name,Country Name,Metric,Unit,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Data Source,Country Code,Spatial Scale,ID
Laundry Dryers,US,Cumulative Total Capacity,MW,192.30500834971608,413.4557679518895,667.7791414943891,960.2510210682634,1296.5936825782192,1683.387743314668,2128.200913161584,2639.7360584855383,3228.0014756080845,3904.5067052990134,4682.48771944358,5538.266835002605,6479.623862117533,7515.116591943953,8654.158594753015,9907.104797842983,11285.345621241948,12801.41052698081,14469.081923293556,16303.52045923758,18321.402848776004,20541.073477268274,22982.711168609767,25668.512629085417,28622.894235608626,31872.71400278416,35447.51574667724,39201.05757776498,43142.276500407104,47280.55636918134,51625.75023139429,56188.20378671788,60978.78001980766,66008.88506455193,71290.4953615334,76836.18617336394,82659.16152578601,88773.2856458292,95193.11597187453,101933.93781422212,109011.80074868712,116443.55682987535,124246.90071512299,132440.411794633,141043.59842811854,150076.94439327833,159561.95765669615,169102.93899816158,178696.28528770615,188388.84037381026,197510.62110938996,207844.15131537872,219854.54695011547,232877.79378360327,243832.49859184722,252614.62227890315,262339.2177762773,273211.3033024479,284340.4265950689,295270.6516160319,304854.4883365403,313927.309497558,322235.1373060447,332336.10953286407,343498.8925329964,355573.5476093458,367740.00188799883,381139.6254509319,394756.5071259838,408370.3288276255,421182.43749581475,433927.2267489812,447684.8672008988,462317.6600481118,477654.24677965336,492501.2377655751,507593.02662430675,522641.9758552966,535512.2240182782,554334.120463951,573829.2110598511,593890.3967366241,614612.5366699839,636659.6450899275,,,,Wilson & Grubler,US,National,Laundry Dryers_Cumulative Total Capacity_US
Laundry Dryers,World,Cumulative Total Capacity,MW,549.4428809991888,1181.302194148256,1907.9404042696833,2743.5743459093246,3704.5533787949116,4809.679266613337,6080.574037604526,7542.103024244393,9222.86135888024,11155.733443711464,13378.53634126737,15823.619528578869,18513.21103462152,21471.76169126843,24726.16741358004,28306.013708122806,32243.84463211985,36575.4586485166,41340.23406655302,46581.487026393086,52346.865282217164,58688.78136362364,65664.88905317077,73338.60751167261,81779.69781602465,91064.89715081187,101278.61641907782,112003.02165075707,123263.64714402029,135087.30391194666,147502.14351826935,160537.7251049082,174225.08577087897,188596.81447014827,203687.12960438104,219531.96049532547,236169.03293081713,253637.95898808335,271980.3313482129,291239.8223263489,311462.2878533917,332695.8766567867,354991.1449003514,378401.1765560943,402981.7097946244,428791.269695081,455891.3075905604,483151.2542804617,510560.81510773185,538253.829639458,563783.6161963999,590788.3099370218,619772.8064739939,650155.7108593927,678730.1709594082,704871.9521983751,732283.6224025434,761558.8164134773,791586.7638833018,822459.2640143203,852634.0902078307,882248.9412672884,910503.3281486047,940397.7077790771,971209.6265565221,1003515.5436917526,1036450.7718985358,1070946.5865444823,1106984.6277891311,1143356.2061354835,1177588.8630681592,1209893.7367524568,1241287.696132215,1271760.3434177858,1301644.2824189828,1330607.420341552,1359699.0771473467,1389818.8850189429,1417683.4924872776,1451609.4972446312,1486578.3225803147,1522424.42393284,1558048.7414725733,1595379.7500018827,1640329.8282930092,1683075.4813955366,1725127.091779839,Wilson & Grubler,World,Global,Laundry Dryers_Cumulative Total Capacity_World
Laundry Dryers,US,Cumulative Total No. of Units, #,62845.320065027125,135117.4381398083,218230.3739258067,313810.2500797048,423727.1076566877,550131.4938702179,695496.5380157778,862666.3387831716,1054911.6096656744,1275993.6711805526,1530238.0419226624,1809906.8497389832,2117542.5383369364,2455941.795794685,2828180.978998208,3237644.0805220837,3688053.4921983466,4183503.845042236,4728499.233170514,5327994.160111621,5987438.579746838,6712827.441345576,7510755.189104189,8388475.711638665,9353968.286426587,10416010.118693301,11584256.134186685,12810914.45045474,14098905.682536198,15451296.47622173,16871306.809591535,18362317.659629837,19927879.05217005,21571718.514337275,23297749.94961286,25110082.956652224,27013032.614043552,29011129.754304454,31109131.751578394,33312033.84871603,35625081.05071056,38053780.6128048,40603915.15300377,43281556.42021267,46093079.75078203,49045179.24787985,52144883.71983256,55262878.57230377,58397986.30160779,61565515.48798438,64546515.48798438,67923515.48798437,71848515.48798437,76104515.48798437,79684515.48798437,82554515.48798437,85732515.48798437,89285515.48798437,92922515.48798437,96494515.48798437,99626515.48798437,102591515.48798437,105306515.48798437,108607515.48798437,112255515.48798437,116201515.48798437,120177515.48798437,124556515.48798437,129006515.48798437,133455515.48798437,137642515.4879844,141807515.4879844,146303515.4879844,151085515.4879844,156097515.4879844,160949515.4879844,165881515.4879844,170799515.4879844,175005515.4879844,181156515.4879844,187527515.4879844,194083515.4879844,200855515.4879844,208060515.4879844,,,,Wilson & Grubler,US,National,Laundry Dryers_Cumulative Total No. of Units_US
Laundry Dryers,World,Cumulative Total No. of Units, #,179558.05732864895,386049.82325659523,623515.3540737336,896600.7145134425,1210648.8790191077,1571804.2682006226,1987132.965759365,2464760.967951918,3014033.170473355,3645696.203373007,4372108.691207606,5171162.427825666,6050121.538105532,7016976.559413384,8080517.082852022,9250411.658634525,10537295.691995276,11952868.128692104,13509997.809058614,15222840.457461774,17106967.370705254,19179506.975273076,21459300.540297683,23967073.461824756,26725623.67550453,29760028.910552286,33097874.669104815,36602612.71558497,40282587.66438913,44146561.3606335,48203733.74169009,52463764.74179952,56936797.29191441,61633481.469535045,66564999.85603671,71743094.16186346,77180093.18298157,82888942.15515555,88883233.57593825,95177239.56776008,101785945.859173,108725087.46515658,116011186.15143932,123661589.77203621,131694513.57366294,140129083.565371,148985382.05666447,157893938.7780108,166851389.4331651,175901472.82281253,184244612.82281253,193069752.82281253,202541892.82281256,212471032.82281256,221809172.82281256,230352312.8228126,239310452.8228126,248877592.82281262,258690732.82281262,268779872.8228126,278641012.8228127,288319152.8228127,297552692.8228127,307322182.8228126,317391524.8228126,327949105.8228127,338712345.8228126,349985585.8228126,361762825.8228126,373649065.8228126,384836305.8228126,395393545.8228126,405653098.8228126,415611566.8228126,425377644.82281256,434842804.82281256,444349964.82281256,454193124.8228125,463299284.8228125,474386310.8228125,485814130.8228125,497528644.8228125,509170679.8228125,521370461.8228125,536060157.5379478,550029446.6046768,563771922.3546861,Wilson & Grubler,World,Global,Laundry Dryers_Cumulative Total No. of Units_World
Laundry Dryers,US, Average Capacity of Unit Additions,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilson & Grubler,US,National,Laundry Dryers_ Average Capacity of Unit Additions_US
Laundry Dryers,World, Average Capacity of Unit Additions,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilson & Grubler,World,Global,Laundry Dryers_ Average Capacity of Unit Additions_World
Laundry Dryers,US,Maximum Capacity of Unit Additions,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilson & Grubler,US,National,Laundry Dryers_Maximum Capacity of Unit Additions_US
Laundry Dryers,World,Maximum Capacity of Unit Additions,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilson & Grubler,World,Global,Laundry Dryers_Maximum Capacity of Unit Additions_World
