Technology Name,Country Name,Metric,Unit,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,Data Source,Country Code,Spatial Scale,ID
Steam Locomotives,World,Cumulative Total Capacity,MW,74.59722522,,,,,,,,,,268.13930829000003,,,,,,,,,,1513.306330095,,,,,,,,,,5454.4396070325,,,,,,,,,,13635.28187847,,,,,,,,,,28903.390104907496,,,,,,,,,,54577.334646345,,,,,,,,,,86772.98337897,,,,,,,,,,142605.83987808792,,,,,,,,,,220439.8547684172,,,,,,,,,,,,,,,,,,,,,Wilson & Grubler,World,Global,Steam Locomotives_Cumulative Total Capacity_World
Steam Locomotives,World,Cumulative Total No. of Units, #,508.5,,,,,,,,,,1707.7175,,,,,,,,,,10119.667816901409,,,,,,,,,,31676.533062391893,,,,,,,,,,63824.774502718064,,,,,,,,,,116187.52585529443,,,,,,,,,,194977.4912023835,,,,,,,,,,294654.8590088616,,,,,,,,,,446773.23093329807,,,,,,,,,,587516.037682987,,,,,,,,,,,,,,,,,,,,,Wilson & Grubler,World,Global,Steam Locomotives_Cumulative Total No. of Units_World
Steam Locomotives,World, Average Capacity of Unit Additions,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24549367564721591,,,,,,,,,,0.2935911183279926,,,,,,,,,,0.3295934265096865,,,,,,,,,,0.3284410058668756,,,,,,,,,,0.36365833288013877,,,,,,,,,,0.532194388770158,,,,,,,,,,0.6499228125697215,,,,,,,,,,1.0162884196160709,Wilson & Grubler,World,Global,Steam Locomotives_ Average Capacity of Unit Additions_World
Steam Locomotives,World,Maximum Capacity of Unit Additions,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilson & Grubler,World,Global,Steam Locomotives_Maximum Capacity of Unit Additions_World
