Technology Name,Country Name,Metric,Unit,1710,1711,1712,1713,1714,1715,1716,1717,1718,1719,1720,1721,1722,1723,1724,1725,1726,1727,1728,1729,1730,1731,1732,1733,1734,1735,1736,1737,1738,1739,1740,1741,1742,1743,1744,1745,1746,1747,1748,1749,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,Data Source,Country Code,Spatial Scale,ID
Stationary Steam Engines,World,Cumulative Total Capacity,MW,,,,,,,,,,,0.13533177,,,,,,,,,,0.8597980387500002,,,,,,,,,,2.170089061875,,,,,,,,,,4.1084960175,,,,,,,,,,6.865145332500001,,,,,,,,,,15.1027313325,,,,,,,,,,26.00650030125,,,,,,,,,,41.2864868325,,,,,,,,,,63.8662984575,,,,,,,,,,125.62483015415306,,,,,,,,,,230.9241299030761,,,,,,,,,,377.15262983928744,,,,,,,,,,648.2726573118546,,,,,,,,,,1710.213556482983,,,,,,,,,,3462.1092444765,,,,,,,,,,6543.510352186604,,,,,,,,,,12313.978588268154,,,,,,,,,,20901.939042118356,,,,,,,,,,35145.35286171835,,,,,,,,,,59513.23425440689,,,,,,,,,,81298.1976698795,,,,,,,,,,,Wilson & Grubler,World,Global,Stationary Steam Engines_Cumulative Total Capacity_World
Stationary Steam Engines,World,Cumulative Total No. of Units, #,4.0,,,,,,,,,,41.5,,,,,,,,,,118.0,,,,,,,,,,221.0,,,,,,,,,,420.25,,,,,,,,,,587.75,,,,,,,,,,1136.5,,,,,,,,,,1718.75,,,,,,,,,,2800.915,,,,,,,,,,3895.4925,,,,,,,,,,5996.473243243243,,,,,,,,,,9545.517993690793,,,,,,,,,,17632.041664999262,,,,,,,,,,30497.68470150684,,,,,,,,,,72842.08982843165,,,,,,,,,,155487.71650441966,,,,,,,,,,297220.0863025593,,,,,,,,,,459319.91791673226,,,,,,,,,,686009.8571536934,,,,,,,,,,1024373.5109316738,,,,,,,,,,1388693.4133665788,,,,,,,,,,1723271.8624363532,,,,,,,,,,,Wilson & Grubler,World,Global,Stationary Steam Engines_Cumulative Total No. of Units_World
Stationary Steam Engines,World, Average Capacity of Unit Additions,MW,,,,,,,,,,,0.0035613623684210526,,,,,,,,,,0.009041252926829271,,,,,,,,,,0.011902821437499999,,,,,,,,,,0.009970094166666669,,,,,,,,,,0.0159970978125,,,,,,,,,,0.015027000323275861,,,,,,,,,,0.018792224351415095,,,,,,,,,,0.014648297955974844,,,,,,,,,,0.02020568735047847,,,,,,,,,,0.028448803193285625,,,,,,,,,,0.03034083033901503,,,,,,,,,,0.019403007093985333,,,,,,,,,,0.02117817854550602,,,,,,,,,,0.024456594199972814,,,,,,,,,,0.02158980536952894,,,,,,,,,,0.021612858136069033,,,,,,,,,,0.03334580310600544,,,,,,,,,,0.03786769679368348,,,,,,,,,,0.043359841844553514,,,,,,,,,,0.06613285329494424,,,,,,,,,,0.07034047926610915,,,,,,,,,,,Wilson & Grubler,World,Global,Stationary Steam Engines_ Average Capacity of Unit Additions_World
Stationary Steam Engines,World,Maximum Capacity of Unit Additions,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilson & Grubler,World,Global,Stationary Steam Engines_Maximum Capacity of Unit Additions_World
