Technology Name,Country Name,Metric,Unit,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,Data Source,Country Code,Spatial Scale,ID
Bicycles,World,Cumulative Total Capacity,MW,0.0002,0.014400000000000001,0.0372,0.0686,0.1086,0.4537666666666666,1.1040999999999999,2.1280999999999994,3.692938668118804,7.235832758323267,12.757576837661897,20.259012969041912,29.74103355033052,41.20458432316564,54.65066756162055,70.08034545147332,87.5015436714746,108.55385518868837,136.25954428070204,168.02289197473763,203.9053182121537,243.90832781239268,287.9935155466323,336.16257151471837,388.76402585575113,445.48110607942414,506.6944863142275,581.5357618566811,670.0147299972222,776.5921233242099,920.2676806391968,1101.0543032058363,1279.2994808073474,1455.018755546556,1628.2291997948503,1885.1874385854192,2188.266619010986,2451.964437858587,2706.100875968268,2952.748440631039,3156.1849343865715,3316.423753072845,3483.854216268198,3666.0819335773995,3845.356710547546,4020.702998356228,4233.0153917920525,4433.07392215499,4642.250183558544,4860.31774864737,5093.447913051462,5325.850516863205,5579.9298500955765,5819.020649417732,6073.441336588601,6343.325934887873,6628.822528436445,6930.0947005547805,7247.323101166054,7564.807149636681,7882.766878270135,8230.557777110833,8597.447212650002,8970.714561314464,9334.416265284464,9708.198087801953,10074.462903285434,10438.138427806189,10830.77499677876,11225.928343183848,11677.215179802308,12145.452557319342,12631.295586940212,13165.668353942148,13780.846035782464,14507.019899269828,15285.577179422948,16111.118307485167,16964.75724616612,17824.856189580085,18655.404459653324,19373.647269503075,20039.005770429492,20779.87923899271,21596.442282201388,22521.82039301781,23608.607396376694,24784.9539505322,26059.97168478986,27279.75212401092,28530.32130838237,29855.666828796657,31155.66682879665,32555.666828796657,34055.66682879665,35655.66682879665,37355.66682879665,39155.666828796646,41055.66682879665,43055.666828796646,45055.666828796646,47176.36682879665,49097.76682879665,51170.76682879665,53328.76682879666,55560.76682879666,57893.16682879665,60459.066828796655,63078.46682879666,66686.56682879665,70562.46682879666,75208.96682879666,80147.46682879666,85067.26682879665,89219.66682879666,93727.86682879666,98649.16682879666,103712.86682879666,109235.46682879665,115152.16682879663,121421.26682879665,128214.66682879663,135388.10722879664,142736.05412879665,150455.80382879666,158719.25552879664,167413.10122879667,176962.40612879666,184755.52382879663,192119.97242879664,200707.39172879665,209693.63762879666,218788.23262879666,228125.62862879666,237278.69762879668,244976.59902879666,252989.56072879667,259840.5733287967,267101.27782879665,275049.2272287967,282779.46692879667,291605.43922879663,301948.1511287966,313959.9609287967,324039.08322879666,335286.0035287966,345545.8508887966,Wilson & Grubler,World,Global,Bicycles_Cumulative Total Capacity_World
Bicycles,World,Cumulative Total No. of Units, #,2.0,144.0,372.0,686.0,1085.9999999999998,4537.666666666666,11041.0,21281.0,36929.38668118805,72358.32758323268,127575.76837661902,202590.1296904191,297410.3355033052,412045.8432316564,546506.6756162056,700803.4545147332,875015.4367147459,1085538.5518868838,1362595.4428070204,1680228.9197473763,2039053.182121537,2439083.2781239264,2879935.155466323,3361625.7151471837,3887640.2585575115,4454811.060794242,5066944.863142275,5815357.618566812,6700147.299972222,7765921.233242099,9202676.806391967,11010543.032058362,12792994.808073476,14550187.55546556,16282291.997948503,18851874.38585419,21882666.190109856,24519644.37858587,27061008.75968268,29527484.406310394,31561849.34386572,33164237.530728452,34838542.16268198,36660819.335774004,38453567.10547546,40207029.98356228,42330153.91792053,44330739.221549906,46422501.83558544,48603177.4864737,50934479.13051463,53258505.16863205,55799298.50095576,58190206.494177334,60734413.36588602,63433259.348878734,66288225.28436447,69300947.00554782,72473231.01166055,75648071.4963668,78827668.78270134,82305577.77110833,85974472.12650003,89707145.61314464,93344162.65284465,97081980.87801953,100744629.03285433,104381384.2780619,108307749.96778762,112259283.43183848,116772151.79802306,121454525.57319342,126312955.8694021,131656683.53942147,137808460.35782465,145070198.99269828,152855771.79422945,161111183.07485163,169647572.46166122,178248561.8958008,186554044.59653318,193736472.69503072,200390057.7042949,207798792.38992706,215964422.8220138,225218203.93017808,236086073.96376687,247849539.505322,260599716.84789857,272797521.2401092,285303213.0838236,298556668.28796643,311556668.28796643,325556668.28796643,340556668.2879665,356556668.2879665,373556668.2879665,391556668.2879665,410556668.28796643,430556668.28796643,450556668.28796643,471763668.2879665,490977668.2879665,511707668.2879665,533287668.2879665,555607668.2879665,578931668.2879665,604590668.2879665,630784668.2879665,666865668.2879665,705624668.2879665,752089668.2879665,801474668.2879665,850672668.2879665,892196668.2879665,937278668.2879665,986491668.2879665,1037128668.2879665,1092354668.2879665,1151521668.2879665,1214212668.2879667,1282146668.2879665,1353881072.2879665,1427360541.2879665,1504558038.2879665,1587192555.2879665,1674131012.2879665,1769624061.2879665,1847555238.2879665,1921199724.2879665,2007073917.2879665,2096936376.2879665,2187882326.2879663,2281256286.2879663,2372786976.2879667,2449765990.2879663,2529895607.2879663,2598405733.2879663,2671012778.2879663,2750492272.2879667,2827794669.2879667,2916054392.2879667,3019481511.2879667,3139599609.2879667,3240390832.2879663,3352860035.2879663,3455458508.887966,Wilson & Grubler,World,Global,Bicycles_Cumulative Total No. of Units_World
Bicycles,World, Average Capacity of Unit Additions,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilson & Grubler,World,Global,Bicycles_ Average Capacity of Unit Additions_World
Bicycles,World,Maximum Capacity of Unit Additions,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilson & Grubler,World,Global,Bicycles_Maximum Capacity of Unit Additions_World
