"Country or Area","Unit","1995","1995 Footnotes","1996","1996 Footnotes","1997","1997 Footnotes","1998","1998 Footnotes","1999","1999 Footnotes","2000","2000 Footnotes","2001","2001 Footnotes","2002","2002 Footnotes","2003","2003 Footnotes","2004","2004 Footnotes","2005","2005 Footnotes","2006","2006 Footnotes","2007","2007 Footnotes","2008","2008 Footnotes","2009","2009 Footnotes","2010","2010 Footnotes","2011","2011 Footnotes","2012","2012 Footnotes","2013","2013 Footnotes","2014","2014 Footnotes","2015","2015 Footnotes","2016","2016 Footnotes"
"Finland","Mil. USD","","","","","20.615328902317","","21.1391239410567","","8.52308494114177","","8.29186759730087","","5.36907947132464","","7.52904564640776","","5.64312324299006","","6.20836515120473","","4.97438193304482","","","","9.58067441104515","","8.78895893053195","","2.77838223109489","","2.64884891254385","","2.7802675631286","","2.56972429849283","","1.32774056786312","","1.32673374046042","","1.10906677817727","","1.10615170697217",""
"Finland","Thousand units","104","","68","","102","","107","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Mil. USD","","","","","","","","","80.5588266469965","","50.2030782790691","","","","","","42.3222956977769","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Thousand units","","","","","490","","640","","509","","555","","542","","528","","544","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Mil. USD","","","","","","","","","","","","","","","590.088952537208","","646.701923646661","","725.137049660713","","824.140643187584","","931.803680027264","","1004.68533711998","","1088.73757554327","","","","","","","","","","","","1079.56270330528","","927.869540767677","","1015.02691718413",""
"Germany","Thousand units","","","","","","","","","","","","","","","2354","","2107","","2061","","2152.433","","2459.897","","2387.86","","2325.933","","","","","","","","","","","","1929.483","","1988.745","","1979.909",""
"Greece","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.5130597106629","","1.92055190128196","","","","",""
"Greece","Thousand units","","","","","","","","","","","","","","","","","380.612","4,5","","","","","","","","","","","","","","","","","","","78.409","","2.115","","","","",""
"Hungary","Mil. USD","","","","","","","","","","","","","","","190.168808003515","","237.63894668014","","215.935387081527","","212.007565793594","","234.521602737773","","248.930116042133","","253.739783863346","","218.743873810798","","199.236173171484","","","","","","","","","","204.902759256442","","203.670506909276",""
"Hungary","Thousand units","714","","736","","835","","708","","849","","995","","1058","","1866","","1883","","1625","","1535","","1683","","1520","","1414","","1398","","1259","","","","","","","","","","1413","","1396",""
"Iceland","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"Iceland","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"India","Thousand units","1913","","1705","","1600","","1902","","2012","","2009","","2469","","2735","","3715","","4360","","5159","","6490","","7393","","","","","","","","","","","","","","","","","","",""
"Indonesia","Thousand units","291","","","","573","","417","","240","","774","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Iran (Islamic Republic of)","Thousand units","575","6","756","6","786","6","1200","","1236","","973","","917","","978","","946","","799","","775.274","","854.2","","1064.514","","933.966","","","","","","","","","","","","","","","","",""
"Iraq","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","1.83977090223923","","","","","","","","","","","","","","","","",""
"Iraq","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","6.8","","","","","","","","","","","","","","","","",""
"Ireland","Mil. USD","17.5102570676535","","10.60434011819","","9.22040564288555","","9.75466050950383","","12.4321839993834","","9.85419825701875","","6.45094898479656","","7.68866329637302","","10.1722939578139","","12.3894134957442","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","Thousand units","41.264","","24.034","","160.27","","","","15.402","","","","9.9","","10.367","","11.433","","12.165","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Mil. USD","","","","","","","","","","","","","","","","","1353.3925046156","","1499.40585945503","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Thousand units","5908","","5402","","5562","","6280","","6582","","6987","","6936","","7088","","7196.946","","7201.077","","","","","","","","","","","","","","","","","","","","","","","","",""
"Japan","Thousand units","5013","","5163","","5369","","4851","","4543","","4224","","3875","","3317","","2859","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kazakhstan","Thousand units","","","","","","","","","","","1.596","","","","","","","","","","0","","","","","","","","","","","","3.266","","5.055","","34.945","","9.84","","","","0",""
"Kyrgyzstan","Thousand units","1","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"Latvia","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"Lithuania","Mil. USD","","","","","13","","17.6","","16.2","","11.6","","11.125","","17.0521377497252","","15.8778559449393","","18.8808736749672","","15.6811852813151","","15.296714476469","","19.7327363322074","","22.0612411569424","","10.5356476697844","","9.88929530630517","","7.84252926274455","","8.48753694376666","","9.18874411003281","","6.73076923076923","","7.57764030996402","","7.41121643671351","3"
"Lithuania","Thousand units","187","","138","","87.6","","116","","118.1","","101.2","","93.9","","111","","97.9","","106.5","","88.9","","83.7","","99.9","","95.4","","51.071","","49.968","","38.239","","44.409","","43.076","","30.253","","39.691","","39.555","3"
"Luxembourg","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"Luxembourg","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"Malaysia","Thousand units","295","","257","","249","","206","","194","","215","","186","","172","","187","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"Malta","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"Mexico","Mil. USD","249.212351573544","","319.983749697799","","463.764418839017","","455.624012444996","","499.84323350572","","518.160834852868","","535.51884297388","","552.632873484852","","463.749292007775","","474.288127733851","","810.679741570806","","900.383742293995","","","","","","","","","","","","","","","","","","","","",""
"Mexico","Thousand units","1256.1","","1447.5","","1942.5","","1986.4","","2079.7","","2034.9","","2040.1","","2208.2","","2113.1","","2355.2","","2898.9","","3026","","","","","","","","","","","","","","","","","","","","",""
"Montenegro","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"Montenegro","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"Netherlands","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.3723032672343","","","","",""
