"Country or Area","Unit","1995","1995 Footnotes","1996","1996 Footnotes","1997","1997 Footnotes","1998","1998 Footnotes","1999","1999 Footnotes","2000","2000 Footnotes","2001","2001 Footnotes","2002","2002 Footnotes","2003","2003 Footnotes","2004","2004 Footnotes","2005","2005 Footnotes","2006","2006 Footnotes","2007","2007 Footnotes","2008","2008 Footnotes","2009","2009 Footnotes","2010","2010 Footnotes","2011","2011 Footnotes","2012","2012 Footnotes","2013","2013 Footnotes","2014","2014 Footnotes","2015","2015 Footnotes","2016","2016 Footnotes"
"Czechia","Thousand units","518.849","","500.525","","473.505","","395.059","","181.988","","229.377","","237","","54","","93","","","","","","207.633","","359.647","","304.634","","293.696","","","","","","308.393","","334.928","","354.718","","423.241","","425.811","4"
"Denmark","Mil. USD","46.6433233573906","","50.0747441296182","","41.5122560502367","","35.0504514865827","","25.5429859064482","","23.1803362820965","","23.4401391115449","","26.2918955161666","","31.9017032821907","","36.4701941838864","","36.5159723924488","","33.7713949878183","","35.5122380745575","","44.2436664287255","","37.4974817504632","","22.4435129332379","","4.50964819552422","","5.13908068670107","","4.15557421041607","","4.47681946117115","","3.37668171849867","","2.99730280289418","4"
"Denmark","Thousand units","156.155","","167.725","","173.5","","185.236","","126.541","","112.085","","120.99","","129.59","","131.737","","146.991","","148","","119","","110.574","","120.445","","90.876","","51.992","","2.519","","2.765","","2.59","","2.775","","2.334","","2.038","4"
"Ecuador","Mil. USD","","","","","","","","","","","","","","","","","","","0","","0","","0","","0","","","","","","","","","","","","","","0.191696","","0.357289","","1.081428",""
"Ecuador","Thousand units","","","","","","","","","","","","","","","","","","","0","","0","","0","","0","","","","","","","","","","","","","","1.312","","3.806","","5.529",""
"Egypt","Thousand units","36","","36","","52","","40","","4","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"El Salvador","Mil. USD","","","","","0.128685714","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"El Salvador","Thousand units","","","","","2.421","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4"
"Estonia","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4"
"Finland","Mil. USD","","","","","27.4871052030893","","31.1523931762942","","24.5038692057826","","20.269009682291","","20.5814713067445","","19.7637448218204","","22.5724929719603","","23.591787574578","","21.1411232154405","","18.8172520748634","","12.318009957058","","10.2537854189539","","6.94595557773723","","6.62212228135963","","11.1210702525144","","8.99403504472491","","9.29418397504181","","9.28713618322295","","8.87253422541815","","8.84921365577732",""
"Finland","Thousand units","119","7","114","","152.675","","125.313","","101.217","","94.239","","85.442","","75.427","","72.889","","71.256","","66.336","","58.894","","33.471","","23.005","","13.604","","12.902","","26.204","","27.003","","25.468","","25.368","","28.059","","25.993",""
"France","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","133.97040142449","4"
"France","Thousand units","","","","","9073","","9948","","10932","","11880","","12660","","13458","","12372","","","","","","","","","","","","","","","","","","","","","","","","","","599.427","4"
"Georgia","Thousand units","3.564","","0.951","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Mil. USD","576.9998105549","","479.918785154916","","450.723180289574","","474.801206205455","","","","491.87264732645","","","","","","","","","","","","","","","","","","","","582.259210979956","","","","","","","","","","","","587.756240374766",""
"Germany","Thousand units","2630.892","","2276.839","","2440.164","","2557.912","","2801.269","","2972.726","","2672.691","","","","","","","","","","","","","","1866","","","","1518.248","","","","","","","","","","","","1360.638",""
"Greece","Mil. USD","7.5169312351246","8","7.78689338921086","8","6.70514036732339","8","7.30753383156627","8","5.76019150220943","8","10.3986463995218","8","9.9192753898749","8","12.4559561809543","8","23.8811625962505","8","24.9932775822143","8","","","","","","","","","","","","","","","","","16.4653227317356","","13.6791741319155","","13.3551947105252","","14.787367864316",""
"Greece","Thousand units","118.011","8","94.033","8","89.251","8","93.148","8","83.701","8","139.265","8","138.961","8","120.83","8","180.762","8","159.711","8","","","","","","","","","","","","","","","","","114.591","","105.539","","107.156","","118.679",""
"Hungary","Mil. USD","","","","","","","","","","","","","","","3.08274952821653","","8.47946264043273","","19.5367763414785","","43.9116656019441","","52.2600884072437","","64.7022250863396","","76.5542084672891","","86.9766484082203","","75.2413508433753","","86.4290897168713","","62.5799152912263","","66.7247815105389","","45.8982093785659","","45.938084540825","","24.6018684093209",""
"Hungary","Thousand units","","","","","","","","","","","","","","","75.032","","107.368","","172","","269","","265","","290","","356","","338","","348","","325","","258","","238","","208","","199","","144",""
"Iceland","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4"
"Iceland","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4"
"India","Mil. USD","","","","","","","","","","","","","","","","","271.65441896978","","345.008569401556","","326.902743958472","","","","","","","","","","","","682.272597421872","","713.876895919476","","574.934074086303","","985.741235733239","","567.841478643156","","",""
"India","Thousand units","9912","","10895","","9765","","10615","","13734","","14975","","11899","","11595","","12341","","8030","","8268","","10599","","11397","","","","","","","","","","","","","","","","","","",""
"Indonesia","Thousand units","1343","","","","760","","416","","143","","","","612","","2064","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Iran (Islamic Republic of)","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.19764365648417","","","","","","","","","","","","","","",""
"Iran (Islamic Republic of)","Thousand units","","","","","124","9","162","9","189","9","185","9","","","","","","","","","","","","","","","","","151.748","","","","","","","","","","","","","","",""
"Iraq","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0237200530903737","","0.0501709401709402","","0.00179487179487179","","0.0176923076923077","","0.0128626554200764","","0.0322898799313894","","0.0531732418524871","","0.0385494003536692","","0.0363790186125212",""
"Iraq","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6","","1.2","","0","","1","","1.07","","0.75","","0.947","","0.952","","0.945",""
