"Country or Area","Unit","1995","1995 Footnotes","1996","1996 Footnotes","1997","1997 Footnotes","1998","1998 Footnotes","1999","1999 Footnotes","2000","2000 Footnotes","2001","2001 Footnotes","2002","2002 Footnotes","2003","2003 Footnotes","2004","2004 Footnotes","2005","2005 Footnotes","2006","2006 Footnotes","2007","2007 Footnotes","2008","2008 Footnotes","2009","2009 Footnotes","2010","2010 Footnotes","2011","2011 Footnotes","2012","2012 Footnotes","2013","2013 Footnotes","2014","2014 Footnotes","2015","2015 Footnotes","2016","2016 Footnotes"
"France","Mil. USD","","","","","","","","","780.738472946447","","408.300122305048","","","","575.653889771633","","435.42564667841","","553.238593681126","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Mil. USD","1482.8339528967","","1438.85312956751","","1315.10207985409","","1409.75027669984","","1019.07769917912","","949.779512368782","","837.873426856135","","","","744.933703271412","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Thousand units","13800.696","","13952.655","","15387.19","","15941.622","","13057.795","","13790.878","","13482.652","","15690.689","","14256.872","","17418","","20693.327","","22567.562","","18861.547","","","","","","","","","","","","","","","","","","",""
"Greece","Thousand units","","","","","","","","","","","","","","","","","253.902","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","Mil. USD","","","","","","","","","","","","","","","","","","","26.3482603423827","","","","","","6.54489609758977","","62.8016423286983","","","","50.4029527156728","","86.7026467137308","","43.748633902747","","","","","","","","",""
"Hungary","Thousand units","495","","227","","285","","174","","167","","","","","","","","","","634","","","","","","114.577","","222","","","","1049","","2707","","1455","","","","","","","","",""
"Iceland","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4"
"Iceland","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4"
"India","Mil. USD","","","","","","","","","","","","","","","","","","","0.250554066439425","","0.048650481094377","","","","","","","","","","","","570.926701567541","","289.689325948923","","209.876505046421","","340.294825933963","","534.518731873837","","",""
"India","Thousand units","3806","","3891","","4989","","4534","","4988","","8460","","12067","","4986","","3689","","3808","","5099","","5940","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Thousand units","960","","","","4193","","17335","","3920","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Iran (Islamic Republic of)","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.7329165277239","","","","","","","","","","","","","","",""
"Iran (Islamic Republic of)","Thousand units","150","6","224","6","248","6","338","6","192","6","430","6","429","6","","","","","","","","","","","","","","","1206.691","","","","","","","","","","","","","","",""
"Iraq","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","0.00338983050847458","","","","0.00785360061684811","","","","","","","","","","","","","","","","",""
"Iraq","Thousand units","","","","","","","","","","","","","","","","","","","","","","","311","","","","0.588","","","","","","","","","","","","","","","","",""
"Ireland","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4"
"Ireland","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4"
"Italy","Mil. USD","","","","","","","","","","","","","","","","","229.318470600739","","242.120032531833","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Thousand units","","","","","","","","","","","","","","","","","3415.915","","3291.716","","","","","","","","","","","","","","","","","","","","","","","","",""
"Japan","Mil. USD","","","","","14517.4930048953","","11960.8831118837","","15885.4249313726","","22284.4977023337","","18004.6321885574","","15222.6346080393","","21543.8054745725","","22793.8482189199","","21263.736405812","","19872.2242365808","","19948.7524206192","","17019.4912190679","","13410.300366741","","13419.9894907574","","12786.5815966516","","10445.1335886012","","7164.01746063411","","6564.17421826564","","5977.82497579308","","5308.76555363447",""
"Japan","Thousand units","12779","7","11290","7","12625","7","11920","7","10904","7","13046","7","2606","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kazakhstan","Thousand units","","","","","","","","","","","","","","","","","4.6","","","","5.2","","","","","","","","0.7","","0.4","","1.6","","0.2","","","","","","","","175.3",""
"Kyrgyzstan","Thousand units","","","","","","","","","","","","","","","0.014","","0.015","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
