"Country or Area","Unit","1995","1995 Footnotes","1996","1996 Footnotes","1997","1997 Footnotes","1998","1998 Footnotes","1999","1999 Footnotes","2000","2000 Footnotes","2001","2001 Footnotes","2002","2002 Footnotes","2003","2003 Footnotes","2004","2004 Footnotes","2005","2005 Footnotes","2006","2006 Footnotes","2007","2007 Footnotes","2008","2008 Footnotes","2009","2009 Footnotes","2010","2010 Footnotes","2011","2011 Footnotes","2012","2012 Footnotes","2013","2013 Footnotes","2014","2014 Footnotes","2015","2015 Footnotes","2016","2016 Footnotes"
"Ecuador","Mil. USD","","","","","","","","","","","","","","","","","","","1.33784045","","2.54242236","","2.24953363","","2.97216678","","4.645","","3.099908","","5.837707","","8.400958105","","13.61792","","6.486257","","11.001351","","2.546741","","3.01874",""
"Ecuador","Thousand metric tons","","","","","","","","","","","","","","","","","","","13.351817","","15.644126","","15.773456","","18.097951","","26.275","","26.085577769","","20.975508","","84.617787925","","16.296095785","","7.746224233","","22.886215946","","10.172346","","0.009619043",""
"Egypt","Mil. USD","","","","","","","","","11.9549370444003","","11.2993764490719","","13.2511955700982","","14.305059634047","","13.1267545452603","","2.03720265913881","","18.6184639344735","","24.7489752609087","","","","14.9148381156974","","46.9877347187746","","","","31.5869626856237","","37.1328981481401","","","","18.9511752230967","","17.4902459618112","","24.4783231254738","6"
"Egypt","Thousand metric tons","48","","50","","37","","51","","41.9373","","41.9328","","38.471","","42.3719","","49.7672","","3","","57.69","","94.694","","","","44.808","","154.884","","","","200.748","","160.661","","","","61.905","","56.435","","133.212","6"
"El Salvador","Mil. USD","","","0","","0.9","","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"El Salvador","Thousand metric tons","","","113.211227","","0.148699","","6.52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","Mil. USD","","","","","","","","","","","","","","","","","","","0","","0","","0","","","","0","","","","","","","","","","","","","","0","","0","3"
"Estonia","Thousand metric tons","","","","","","","","","","","","","","","","","","","0","","0","","0","","","","0","","","","","","","","","","","","","","0","","0","3"
"Finland","Mil. USD","","","","","11.4529605012872","","15.5761965881471","","13.8500130293554","","11.0558234630678","","20.5814713067445","","13.1758298812136","","14.6721204317742","","16.1417493931323","","19.8975277321793","","23.8351859614936","","30.1106910061419","","35.1558357221278","","31.9513956575913","","21.1907913003508","","36.1434783206718","","33.4064158804068","","34.521254764441","","30.5148760305897","","26.6176026762544","","25.4414892603598",""
"Finland","Thousand metric tons","77","7","57","7","33.923","7","58.635","7","57.22","7","57.176","7","60.896","7","73.17","7","66.081","7","69.932","7","62.411","7","61.101","7","66.195","7","63.533","7","126.539","7","120.054","7","123.572","7","123.886","7","114.347","7","119.194","7","110.848","7","100.331","7"
"France","Mil. USD","","","","","","","","","532.630603085917","","448.543176906229","","780.662085350467","","501.281976876417","","281.357095898296","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Thousand metric tons","1500","","1552.354","8","1535","","1578","","1601","","1690","","1782","","1829","","1910","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Mil. USD","503.583074140039","","457.511947806122","","348.519037497351","","392.351367951538","","334.531083939814","","282.50538043104","","553.929493069413","","370.837174662878","","391.366114361654","","358.401750758973","","","","","","716.272073360593","","","","663.390781491992","","","","","","","","","","","","","","",""
"Germany","Thousand metric tons","3445.215","8","","","3040.249","8","","","","","","","","","","","","","","","","","","","","","","","2439.681","","","","","","","","","","","","","","",""
"Greece","Mil. USD","22.1203638192667","","20.9371910696804","","21.6121498721224","","15.9621503269534","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.39648783568837","","","","","","",""
"Greece","Thousand metric tons","67.646","","66.562152","","72.3848","","68.8","","","","","","","","","","6.1","4","","","","","","","","","","","","","","","","","","","7.189788","7","","","","","",""
"Hungary","Mil. USD","","","","","","","","","","","","","","","19.0587596618669","","18.2830054092611","","16.7944265192462","","30.3834254005236","","38.4143733067161","","64.1903145436146","","76.2578920866097","","","","","","","","","","","","99.8531108117808","","","","",""
"Hungary","Thousand metric tons","159","","159","","160","","148","","143","","149","","145","","111.038","","103.088","","101.474","","104.617","","140.794","","214.03","","190.094","","","","","","","","","","","","282.571","","","","",""
"India","Mil. USD","","","","","","","","","","","","","","","","","289.176225828217","","356.988143581362","","395.629737998718","","","","","","","","","","","","4634.09235339976","","5377.80749528942","","3670.5389329313","","4214.22867731594","","4178.76900313054","","",""
"India","Thousand metric tons","1357","","1456","","1426","","1431","","1425","","1642","","1732","","1539","","1601","","1771","","1881","","1929","","2058","","","","","","","","","","","","","","","","","","",""
"Iran (Islamic Republic of)","Thousand metric tons","35","","39","","214","9","180","","189","9","211","9","213","9","","","","","561.30589","","527.89441","","599.15435","","1745.364219","","1158.437","","","","","","","","","","","","","","","","",""
