"Country or Area","Unit","1995","1995 Footnotes","1996","1996 Footnotes","1997","1997 Footnotes","1998","1998 Footnotes","1999","1999 Footnotes","2000","2000 Footnotes","2001","2001 Footnotes","2002","2002 Footnotes","2003","2003 Footnotes","2004","2004 Footnotes","2005","2005 Footnotes","2006","2006 Footnotes","2007","2007 Footnotes","2008","2008 Footnotes","2009","2009 Footnotes","2010","2010 Footnotes","2011","2011 Footnotes","2012","2012 Footnotes","2013","2013 Footnotes","2014","2014 Footnotes","2015","2015 Footnotes","2016","2016 Footnotes"
"Ecuador","Thousand units","","","","","","","","","","","","","","","","","","","","","0","","0","","4.1","","0.735","","0.025","","0.019","","0.144998","","0.068","","24.887","","18.54","","12.932","","",""
"Egypt","Mil. USD","","","","","","","","","244.834106472277","","150.249564378393","","1747.86307576139","","202.738795466331","","36.5818787788151","","158.365998743862","","495.527701669887","","201.312131166604","","","","304.189044038668","","281.778876139275","","","","378.303264393358","","","","","","500.724781464783","","354.599583308522","","0.21325830705268","4"
"Egypt","Thousand units","","","","","","","","","174.701","","190.245","","422.58","","526.361","","192.384","","1119.752","","2452.663","","608","","552","","751.405","","834","","709","","747.443","","","","","","1016","","777","","981","4"
"Estonia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.87968468159981","","0","","0","","2.65548113572623","","2.65346748092084","","2.21813355635454","","4.36929924254005",""
"Estonia","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","0.1","","0.1","","1.9","","0","","0","","210.4",""
"Finland","Mil. USD","","","","","105.367236611842","","103.47044876412","","69.2500651467769","","65.4136221564846","","65.3238002344498","","95.9953319916989","","113.991089508399","","145.275744538191","","169.128985723524","","193.190454635264","","249.097534687174","","253.414982497004","","191.708373945548","","182.770574965526","","176.546990258666","","154.18345790957","","196.505604043741","","206.970463511826","","214.049888188213","","198.001155548018",""
"Finland","Thousand units","","","","","","","","","87","","90","","78","","","","","","","","","","","","763","","806","","395","","395","","252","","101","","125","","148","","168","","168",""
"France","Mil. USD","","","","","","","","","","","80.9608434979092","","","","382.616688443384","","1754.9785984551","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Mil. USD","1109.86261284297","","1327.48495305721","","","","1442.15280829148","","1395.81689445666","","1291.60566664174","","1543.38874076026","","","","1915.77284021214","","","","","","1834.56763955345","","2175.12546919642","","2326.43702901418","","1848.67960217946","","2029.28031233381","","2436.18610350444","","2281.95839982433","","","","","","2030.23251045998","","1984.7752586446",""
"Germany","Thousand units","240","","241","","","","","","","","","","","","","","8342.375","","","","8213.851","","","","","","9992.258","","8330.096","","10463.654","","","","11067.838","","11217.182","","","","","","9335.883",""
"Greece","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.26979910895675",""
"Greece","Thousand units","25","","25","","19","","18","","","","","","","","","","16.293","1","","","","","","","","","","","","","","","","","","","","","","","","","0.521",""
"Hungary","Mil. USD","","","","","","","","","","","","","","","18.4266990667735","","23.1780895202996","","28.8045377011447","","33.0640211441384","","30.7904368078331","","65.3884030478647","","243.670837045358","","172.272970635476","","214.567211551177","","253.413254363503","","210.653581542888","","202.664342072912","","222.294193904845","","171.3012270323","","25.7243330956255",""
"Hungary","Thousand units","2","","","","","","19","","41","","56","","48","","217","","14","","14","","14","","15","","50","","1779","","1271","","1783","","2122","","1843","","1658","","1907","","1810","","",""
"Iceland","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.59929562147544","3"
"India","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1310.61235162443","","1020.90847461003","","1277.61880088594","","1825.68840643534","","1571.1768964828","","",""
"Indonesia","Thousand units","130","","","","405","","491","","1442","","1211","","1734","","4400","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Iran (Islamic Republic of)","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","292.90906232949","","","","","","","","","","","","","","",""
"Iran (Islamic Republic of)","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1638.18","","","","","","","","","","","","","","",""
"Iraq","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","0.322274219549424","","0.867521367521368","","","","","","","","","","","","","","",""
"Iraq","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","1.95","","2.656","","","","","","","","","","","","","","",""
"Ireland","Mil. USD","18.8241868461762","","27.1301051828493","","32.8746428711023","","47.0634409234086","","42.6729651175321","","14.1041903874222","","12.3642956215157","","20.3390834328056","","27.8702570724793","","27.9798600634495","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","Thousand units","6.696","","28.317","","33.745","","37.832","","117.075","","74.758","","47.316","","86.201","","580.833","","577.31","","","","","","","","","","","","","","","","","","","","","","","","",""
