"Country or Area","Unit","1995","1995 Footnotes","1996","1996 Footnotes","1997","1997 Footnotes","1998","1998 Footnotes","1999","1999 Footnotes","2000","2000 Footnotes","2001","2001 Footnotes","2002","2002 Footnotes","2003","2003 Footnotes","2004","2004 Footnotes","2005","2005 Footnotes","2006","2006 Footnotes","2007","2007 Footnotes","2008","2008 Footnotes","2009","2009 Footnotes","2010","2010 Footnotes","2011","2011 Footnotes","2012","2012 Footnotes","2013","2013 Footnotes","2014","2014 Footnotes","2015","2015 Footnotes","2016","2016 Footnotes"
"India","Mil. USD","","","","","","","","","","","","","","","","","90.0131700461007","","123.836085440612","","190.242675307639","","","","","","","","","","","","4279.72281459686","","8479.67278253886","","6969.72214716628","","7875.92361258317","","8651.07617035744","","",""
"India","Thousand units","2588","","2886","","3046","","3197","","3722","","3756","","4325","","5088","","5625","","6455","","7602","","8446","","8010","","","","","","","","","","","","","","","","","","",""
"Indonesia","Thousand units","601","","","","1443","","580","","172","","","","1239","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Iran (Islamic Republic of)","Thousand units","196","8","253","8","110","8","116","8","121","8","180","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Iraq","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","0.611105678734681","","","","","","","","","","","","","","","","",""
"Iraq","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","0.183","","","","","","","","","","","","","","","","",""
"Ireland","Mil. USD","0","","0.263476712910052","","0.360086394042015","","0.302338153054728","","0.240669545639873","","0.159974080236104","","0.442735188052009","","0.777435136487478","","0.829539116719539","","1.06287211388625","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"Ireland","Thousand units","0","","0","","0","","0.062","","0.053","","0.034","","0.273","","0.285","","0.172","","0.2","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"Italy","Mil. USD","","","","","","","","","","","","","","","","","1775.993589412","","2047.95092908184","","","","","","","","","","","","","","","","","","","","","","","","1431.45654402049","6"
"Italy","Thousand units","837","9","896","9","1015","9","1063","9","949","9","1005","9","633","9","589","9","456.98","","474.92","","","","","","","","","","","","","","","","","","","","","","","","267.212","6"
"Japan","Thousand units","2753","","2584","","2676","","2636","","2252","","2415","","2328","","2115","","1831","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kazakhstan","Thousand units","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","0",""
"Latvia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"Latvia","Thousand units","3","","3","","2","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"Lithuania","Mil. USD","","","","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","3.3184551209165","6"
"Lithuania","Thousand units","","","","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","4.04","6"
"Luxembourg","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"Luxembourg","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"Malaysia","Thousand units","328","","330","","424","","249","","272","","274","","236","","242","","257","","390","","260","","461","","470","","550","","306","","422","","487","","534","","498","","369","","346","","311",""
"Malta","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"Malta","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"Mexico","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","44.920515211803","","36.8922239709605","","19.2622548974265","","12.0370290987199","","16.4126758989161","","33.1372777148647","","53.0222707231064","","60.9669398794052","","60.3157442958398","","61.2942790776201",""
"Mexico","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","40.593","","37.624","","23.054","","12.9","","18.3","","36.3","","53.3","","59.6","","60.6","","66.3",""
"Montenegro","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"Montenegro","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"Nepal","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","0.49988686671853","","","","","","","","","","","","","","","","","","",""
"Netherlands","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","265.515552278781","","260.827016297022","","276.170038115528","","293.782632351372","","287.834991873568","","315.06961530371",""
"Netherlands","Thousand units","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","172","","184","","172","","172.521","","197.047","","207.359",""
"Nigeria","Mil. USD","","","3.2640495200159","","3.73362530492999","","4.1703261526532","","3.45569163757972","","3.23330011930829","","2.95377423161207","","2.6993860621109","","2.53531219638089","","2.46237386702075","","2.48925278615013","","","","","","","","","","","","","","","","","","","","","","",""
"Nigeria","Thousand units","6","","","","","","","","","","","","6.899","","6.911","","6.887","","6.899","","6.899","","","","","","","","","","","","","","","","","","","","","","",""
"Norway","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"Norway","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"Pakistan","Thousand units","61","","122","","117","","97","","93","2","95","2","118","2","133","2","177","2","327","2","571.145","2","751.667","2","839.224","2","1057.751","2","917.628","2","1381.427","2","1638.457","2","1649.532","2","1675.071","2","1728.137","2","1777.251","2","",""
"Peru","Thousand units","4.702","","4.201","","4.974","","3.3","","0.6","","1.438","","1.432","","2.404","","2.305","","2.1","","3.5","","5.724","","","","","","","","","","","","28.8","","37.7","","27.7","","28.1","","27.207",""
"Poland","Mil. USD","","","","","","","","","","","0","","","","0","","0","","","","","","","","","","","","","","","","","","","","","","4.75504893687619","","4.35070964318875","","",""
"Poland","Thousand units","1","","0","","0","","0","","0","","0","5","0.4","","0","","0","","0.1","","0.1","","0","","","","","","","","","","","","","","","","1.4","","0.913","","",""
"Portugal","Mil. USD","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.839192294434505","","1.21789924616494","","1.88078969108036","","1.36941687715405","","1.91836903930574",""
"Portugal","Thousand units","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","302","","365","","527","","480","","611",""
"Republic of Korea","Thousand units","362.122","","346.4","","368.805","","250.261","","352.54","","307.611","","206.188","","193.327","","155.935","","146.552","","156.863","","","","","","","","","","","","","","","","","","","","","","",""
"Romania","Thousand units","0","","0","","0","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Russian Federation","Thousand units","70.315","","39","","61.4","","21.9","","31.7","","32.8","","20.6","","23.3","","18","","18.4","","12.4","","6.6","","8.5","","6.2","","6.8","","10.4","","11.7","","26.8","","81.3","","46.8","","20.2","","8.1",""
"Serbia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"Serbia","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"Slovakia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"Slovakia","Thousand units","","","24","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"Slovenia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","","0","","0","","0","","0","6"
