"Country or Area","Unit","1995","1995 Footnotes","1996","1996 Footnotes","1997","1997 Footnotes","1998","1998 Footnotes","1999","1999 Footnotes","2000","2000 Footnotes","2001","2001 Footnotes","2002","2002 Footnotes","2003","2003 Footnotes","2004","2004 Footnotes","2005","2005 Footnotes","2006","2006 Footnotes","2007","2007 Footnotes","2008","2008 Footnotes","2009","2009 Footnotes","2010","2010 Footnotes","2011","2011 Footnotes","2012","2012 Footnotes","2013","2013 Footnotes","2014","2014 Footnotes","2015","2015 Footnotes","2016","2016 Footnotes"
"Iceland","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","2"
"India","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2458.09378924822","","1332.58900284732","","1601.03009466589","","2416.87710126999","","1608.44371699969","","",""
"India","Units","","","","","","","","","","","","","","","2191000","","3572000","","5044000","","6060000","","5853000","","","","","","","","","","","","","","","","","","","","",""
"Iraq","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","0.225762711864407","","","","0.265446671862945","","","","","","","","","","","","","","","","",""
"Iraq","Units","","","","","","","","","","","","","","","","","","","","","","","4070","","","","1468","","","","","","","","","","","","","","","","",""
"Ireland","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","2"
"Ireland","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","2"
"Italy","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.33401895860843","2"
"Italy","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33677","2"
"Japan","Mil. USD","","","","","6001.76728221935","","4695.86026592831","","4110.25487019849","","5891.63516913478","","4589.17000001173","","5110.24102827792","","5942.43435191061","","8353.42026685548","","8831.12677371056","","11120.1518002679","","10517.137012914","","12715.9968527292","","14714.7236198434","","20216.4562207454","","9369.5263947132","","2095.28811799629","","1637.66506437667","","1028.31870500539","","842.453804805998","","1140.86489099932",""
