"Country or Area","Unit","1995","1995 Footnotes","1996","1996 Footnotes","1997","1997 Footnotes","1998","1998 Footnotes","1999","1999 Footnotes","2000","2000 Footnotes","2001","2001 Footnotes","2002","2002 Footnotes","2003","2003 Footnotes","2004","2004 Footnotes","2005","2005 Footnotes","2006","2006 Footnotes","2007","2007 Footnotes","2008","2008 Footnotes","2009","2009 Footnotes","2010","2010 Footnotes","2011","2011 Footnotes","2012","2012 Footnotes","2013","2013 Footnotes","2014","2014 Footnotes","2015","2015 Footnotes","2016","2016 Footnotes"
"Germany","Mil. USD","503.583074140039","","574.489434461096","","550.411942714263","","587.971313445789","","965.239369584305","","822.737529376631","","966.434304838435","","","","","","","","","","","","","","","","551.383341395562","","568.626450476263","","740.276558890899","","574.876488089048","","","","","","","","",""
"Germany","Thousand units","3182","","3342","","3632","","3884","","4021","","4025","","4746","","","","","","","","","","","","","","2790.085","","","","","","1734.395","","","","","","","","2678.646","","1298.959",""
"Hungary","Mil. USD","","","","","","","","","","","","","","","198.300286947755","","274.040004755394","","316.840050144886","","342.309571229942","","311.416892437854","","378.089502657125","","423.087500484178","","307.237757917713","","352.368624590735","","356.962038320201","","333.063574149528","","324.669751223765","","299.16810566001","","336.480717424575","","400.908154492926",""
"Hungary","Thousand units","103","","310","","528","","2328","","2412","","2320","","3459","","2917","","2991","","2840","","2248","","2258","","2341","","1926","","1522","","1577","","1106","","1706","","2184","","2129","","3058","","3677",""
"Iceland","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1"
"Iceland","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1"
"India","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.5756932030001","","70.8520780265915","","76.8330638734259","","14.8376897311465","","57.438820148274","","",""
"India","Thousand units","116","","47","","33","","2","","0","","0","","0","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Thousand units","3805","3","","","4177","3","","","4937","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Iran (Islamic Republic of)","Thousand units","45","4","56","4","0.076","4","0.127","4","114","4","139","4","129","4","275","4","399","","350","","562","","821","","301","","637","","","","","","","","","","","","","","","","",""
"Iraq","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","0.328813559322034","","","","","","","","","","","","","","","","","","","","",""
"Iraq","Thousand units","","","","","","","","","","","","","","","","","","","","","","","29","","","","","","","","","","","","","","","","","","","","",""
"Ireland","Mil. USD","0","","0","","0","","0","","0.700189539470296","","35.1639512591739","","43.2142316399853","","60.8063438483774","","88.0304653413478","","129.542505572008","","","","","","","","","","","","","","","","","","","","","","","","0","1"
"Ireland","Thousand units","0","","0","","0","","0","","2.32","","77.402","","105.11","","134.169","","173.729","","1489.98","","","","","","","","","","","","","","","","","","","","","","","","0","1"
"Japan","Mil. USD","","","","","140.027103286415","","96.7875245347205","","129.096764675297","","126.144268900905","","180.582490439161","","119.086337747726","","197.984250405927","","106.948195140604","","115.770341462172","","90.6884129308473","","131.316658697455","","14.1448060925012","","23.9072124631513","","17.3502183729471","","18.4820829205888","","15.1772532712072","","9.44714156601926","","6.97533180044046","","3.4119816951858","","7.39018814646912",""
