ID,2016,2017,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Flow battery_Cumulative Rated Capacity_CA,14000.0,34000.0,Flow battery,Canada,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,CA
Flow battery_Cumulative Rated Power_CA,4000.0,9000.0,Flow battery,Canada,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,CA
