ID,2010,2012,2013,2014,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lithium-ion battery_Cumulative Rated Capacity_ES,106.0,676.0,3776.0,4245.0,Lithium-ion battery,Spain,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,ES
Lithium-ion battery_Cumulative Rated Power_ES,106.0,1106.0,2206.0,3576.0,Lithium-ion battery,Spain,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,ES
