ID,2003,2012,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Nickel-based battery_Cumulative Rated Capacity_US,6750.0,7600.0,Nickel-based battery,United States,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,US
Nickel-based battery_Cumulative Rated Power_US,27000.0,27085.0,Nickel-based battery,United States,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,US
