ID,1979,1981,1988,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped hydro storage_Cumulative Rated Capacity_ZA,2790000.0,12790000.0,16790000.0,Pumped hydro storage,South Africa,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,ZA
Pumped hydro storage_Cumulative Rated Power_ZA,180000.0,1180000.0,1580000.0,Pumped hydro storage,South Africa,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,ZA
