ID,2008,2013,2014,2015,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lithium-ion battery_Cumulative Rated Capacity_FR,163.71,1817.71,11954.52,14454.52,Lithium-ion battery,France,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,FR
Lithium-ion battery_Cumulative Rated Power_FR,107.0,3409.0,9292.0,12292.0,Lithium-ion battery,France,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,FR
