ID,2011,2017,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Heat thermal storage_Cumulative Rated Capacity_AU,72000.0,75300.0,Heat thermal storage,Australia,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,AU
Heat thermal storage_Cumulative Rated Power_AU,3000.0,4100.0,Heat thermal storage,Australia,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,AU
