ID,2011,2012,2014,2015,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Sodium-based battery_Cumulative Rated Capacity_IT,228.6,,102642.91,193482.91,Sodium-based battery,Italy,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,IT
Sodium-based battery_Cumulative Rated Power_IT,180.0,4180.0,18498.0,30598.0,Sodium-based battery,Italy,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,IT
