ID,2012,2013,2014,2015,2016,2018,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lithium-ion battery_Cumulative Rated Capacity_KR,1730.0,14157.5,55755.0,223355.0,251555.0,291555.0,Lithium-ion battery,South Korea,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,KR
Lithium-ion battery_Cumulative Rated Power_KR,2090.0,10690.0,25490.0,93990.0,177990.0,190990.0,Lithium-ion battery,South Korea,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,KR
