ID,2012,2013,2014,2015,2016,2017,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lithium-ion battery_Cumulative Rated Capacity_DE,262.90999999999997,1004.81,,23119.210000000003,297619.21,,Lithium-ion battery,Germany,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,DE
Lithium-ion battery_Cumulative Rated Power_DE,227.0,972.0,64490.0,85404.0,198404.0,228404.0,Lithium-ion battery,Germany,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,DE
