ID,1953,1972,1975,1981,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped hydro storage_Cumulative Rated Capacity_SK,,,,,Pumped hydro storage,Slovakia,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,SK
Pumped hydro storage_Cumulative Rated Power_SK,24000.0,84000.0,282000.0,1017160.0,Pumped hydro storage,Slovakia,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,SK
