ID,2013,2014,2015,2016,2017,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lithium-ion battery_Cumulative Rated Capacity_CA,1998.0,7318.0,,8135.5,82335.5,Lithium-ion battery,Canada,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,CA
Lithium-ion battery_Cumulative Rated Power_CA,1900.0,9900.0,18852.0,19762.0,43562.0,Lithium-ion battery,Canada,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,CA
