ID,2015,2016,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lead-acid battery_Cumulative Rated Capacity_ES,15.0,111.0,Lead-acid battery,Spain,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,ES
Lead-acid battery_Cumulative Rated Power_ES,50.0,90.0,Lead-acid battery,Spain,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,ES
