ID,1951,1976,1981,1988,1998,2006,2008,2013,2016,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped hydro storage_Cumulative Rated Capacity_IN,,,,,,,5400000.0,11000000.0,,Pumped hydro storage,India,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,IN
Pumped hydro storage_Cumulative Rated Power_IN,150000.0,162000.0,1832000.0,2232000.0,2472000.0,4172000.0,5072000.0,5772000.0,6772000.0,Pumped hydro storage,India,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,IN
