ID,1963,1965,1974,1984,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped hydro storage_Cumulative Rated Capacity_GB,2160000.0,11840000.0,,20480000.0,Pumped hydro storage,United Kingdom,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,GB
Pumped hydro storage_Cumulative Rated Power_GB,360000.0,800000.0,1100000.0,2828000.0,Pumped hydro storage,United Kingdom,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,GB
