ID,2014,2016,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Flywheel_Cumulative Rated Capacity_FR,100.0,,Flywheel,France,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,FR
Flywheel_Cumulative Rated Power_FR,100.0,100.0,Flywheel,France,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,FR
