ID,2009,2012,2014,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Sodium-based battery_Cumulative Rated Capacity_DE,4800.0,10800.0,10880.0,Sodium-based battery,Germany,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,DE
Sodium-based battery_Cumulative Rated Power_DE,800.0,1800.0,1820.0,Sodium-based battery,Germany,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,DE
