ID,2003,2010,2012,2013,2014,2015,2016,2017,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Flow battery_Cumulative Rated Capacity_AU,800.0,1300.0,2080.0,2430.0,2559.9,3219.9,3799.9,4798.9,Flow battery,Australia,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,AU
Flow battery_Cumulative Rated Power_AU,200.0,300.0,690.0,835.0,865.0,1165.0,1275.0,1575.0,Flow battery,Australia,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,AU
