ID,2014,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Sodium-based battery_Cumulative Rated Capacity_GQ,10000.0,Sodium-based battery,Equatorial Guinea,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,GQ
Sodium-based battery_Cumulative Rated Power_GQ,5000.0,Sodium-based battery,Equatorial Guinea,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,GQ
