ID,2004,2010,2011,2012,2013,2014,2015,2016,2018,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Flow battery_Cumulative Rated Capacity_US,2000.0,10940.0,11440.0,16606.25,129856.25,134835.95,,146215.95,148215.95,Flow battery,United States,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,US
Flow battery_Cumulative Rated Power_US,250.0,1430.0,1680.0,2965.0,31590.0,33155.0,34753.0,37391.0,38391.0,Flow battery,United States,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,US
