ID,2012,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Heat thermal storage_Cumulative Rated Capacity_CL,68250.0,Heat thermal storage,Chile,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,CL
Heat thermal storage_Cumulative Rated Power_CL,10500.0,Heat thermal storage,Chile,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,CL
