ID,2013,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Sodium-based battery_Cumulative Rated Capacity_MV,1500.0,Sodium-based battery,Maldives,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,MV
Sodium-based battery_Cumulative Rated Power_MV,600.0,Sodium-based battery,Maldives,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,MV
