ID,2013,2014,2015,2016,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Electro-chemical capacitor_Cumulative Rated Capacity_US,200.0,249.0,471.4,546.4,Electro-chemical capacitor,United States,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,US
Electro-chemical capacitor_Cumulative Rated Power_US,1000.0,1070.0,2098.0,2348.0,Electro-chemical capacitor,United States,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,US
