ID,2007,2010,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Flywheel_Cumulative Rated Capacity_AU,,,Flywheel,Australia,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,AU
Flywheel_Cumulative Rated Power_AU,500.0,1000.0,Flywheel,Australia,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,AU
