ID,1974,1979,1986,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped hydro storage_Cumulative Rated Capacity_NO,,,,Pumped hydro storage,Norway,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,NO
Pumped hydro storage_Cumulative Rated Power_NO,40000.0,310000.0,967000.0,Pumped hydro storage,Norway,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,NO
