ID,2013,2014,2015,2016,2020,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Zinc-based battery_Cumulative Rated Capacity_US,6000.0,,12000.0,13075.0,53075.0,Zinc-based battery,United States,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,US
Zinc-based battery_Cumulative Rated Power_US,1000.0,1100.0,4100.0,4350.0,14350.0,Zinc-based battery,United States,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,US
