ID,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lithium-ion battery_Cumulative Rated Capacity_US,250.0,4275.0,15612.5,84781.4,,,,,,,,239017.4,Lithium-ion battery,United States,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,US
Lithium-ion battery_Cumulative Rated Power_US,1000.0,9600.0,49681.0,69115.0,138992.0,279811.0,536073.0,1195782.0,1257542.0,1604042.0,1627232.0,1672622.0,Lithium-ion battery,United States,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,US
