ID,2009,2010,2011,2012,2013,2014,2015,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lithium-ion battery_Cumulative Rated Capacity_CN,5800.0,12598.5,136418.5,152547.55,158397.55,181522.55,181622.55,Lithium-ion battery,China,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,CN
Lithium-ion battery_Cumulative Rated Power_CN,2200.0,4650.0,32085.0,38760.0,40940.0,54815.0,54915.0,Lithium-ion battery,China,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,CN
