ID,2012,2013,2017,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Flow battery_Cumulative Rated Capacity_KR,200.0,300.0,900.0,Flow battery,South Korea,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,KR
Flow battery_Cumulative Rated Power_KR,100.0,150.0,250.0,Flow battery,South Korea,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,KR
