ID,1985,1994,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped hydro storage_Cumulative Rated Capacity_TW,,,Pumped hydro storage,Taiwan,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,TW
Pumped hydro storage_Cumulative Rated Power_TW,1008000.0,2608000.0,Pumped hydro storage,Taiwan,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,TW
