ID,2018,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped hydro storage_Cumulative Rated Capacity_ID,,Pumped hydro storage,Indonesia,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,ID
Pumped hydro storage_Cumulative Rated Power_ID,1040000.0,Pumped hydro storage,Indonesia,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,ID
