ID,2009,2011,2012,2013,2014,2015,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Heat thermal storage_Cumulative Rated Capacity_US,4000.0,4975.0,15025.0,16645.0,16675.0,,Heat thermal storage,United States,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,US
Heat thermal storage_Cumulative Rated Power_US,2000.0,2275.0,4285.0,4600.0,4605.0,4605.0,Heat thermal storage,United States,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,US
