ID,2014,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Flywheel_Cumulative Rated Capacity_MX,,Flywheel,Mexico,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,MX
Flywheel_Cumulative Rated Power_MX,390.0,Flywheel,Mexico,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,MX
