ID,2013,2014,2015,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Hydrogen storage_Cumulative Rated Capacity_DE,,,25980.0,Hydrogen storage,Germany,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,DE
Hydrogen storage_Cumulative Rated Power_DE,8720.0,9520.0,15520.0,Hydrogen storage,Germany,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,DE
