ID,2014,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lithium-ion battery_Cumulative Rated Capacity_BO,1100.0,Lithium-ion battery,Bolivia,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,BO
Lithium-ion battery_Cumulative Rated Power_BO,2200.0,Lithium-ion battery,Bolivia,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,BO
