ID,2010,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Flow battery_Cumulative Rated Capacity_NL,80.0,Flow battery,Netherlands,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,NL
Flow battery_Cumulative Rated Power_NL,10.0,Flow battery,Netherlands,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,NL
