ID,2007,2009,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Heat thermal storage_Cumulative Rated Capacity_ES,5500.0,25500.0,Heat thermal storage,Spain,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,ES
Heat thermal storage_Cumulative Rated Power_ES,11000.0,31000.0,Heat thermal storage,Spain,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,ES
