ID,2006,2009,2013,2014,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lead-acid battery_Cumulative Rated Capacity_GB,25.0,85.0,250.15,415.3,Lead-acid battery,United Kingdom,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,GB
Lead-acid battery_Cumulative Rated Power_GB,5.0,17.0,62.0,107.0,Lead-acid battery,United Kingdom,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,GB
