ID,2000,2005,2012,2014,2015,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Flow battery_Cumulative Rated Capacity_JP,810.0,6810.0,11810.0,12110.0,72110.0,Flow battery,Japan,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,JP
Flow battery_Cumulative Rated Power_JP,3000.0,7000.0,8000.0,8030.0,23030.0,Flow battery,Japan,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,JP
