ID,2011,2013,2014,2015,2017,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Flow battery_Cumulative Rated Capacity_DE,650.0,2250.0,3485.0,4145.0,5825.0,Flow battery,Germany,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,DE
Flow battery_Cumulative Rated Power_DE,260.0,460.0,785.0,1035.0,1435.0,Flow battery,Germany,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,DE
