,Technology Name,Country Name,num values,num years,First Year of Data,First Value,Last Year of Data,Last Value
5676,Air-Source Heat Pumps,NOR,13,13,2011,86950.0,2023,151260.0
5546,Air-Source Heat Pumps,POL,14,14,2010,3560.0,2023,116330.0
5745,Air-Source Heat Pumps,CZE,12,12,2010,4199.0,2021,28380.0
5029,Air-Source Heat Pumps,USA,20,20,2003,1626365.0,2022,4334479.0
5662,Air-Source Heat Pumps,CHE,13,13,2010,20740.0,2022,51750.0
3824,Air-Source Heat Pumps,NLD,27,27,1995,100.0,2021,368100.0
4337,Air-Source Heat Pumps,AUT,23,23,2000,4720.0,2022,60339.99999999999
4257,Air-Source Heat Pumps,DEU,23,23,2001,15000.0,2023,438500.0
314,Ammonia Synthesis,USA,92,92,1929,162.77,2020,13261.50663
307,Ammonia Synthesis,CAN,90,90,1931,1.23,2020,2726.16507
313,Ammonia Synthesis,,65,65,1928,8.2,1992,413.7
311,Ammonia Synthesis,RUS,64,64,1928,4.715,1991,12102.0
312,Ammonia Synthesis,NLD,91,91,1930,19.27,2020,1553.0
310,Ammonia Synthesis,BEL,93,93,1928,9.225,2020,787.6
318,Ammonia Synthesis,POL,93,93,1928,8.2,2020,2098.027
317,Ammonia Synthesis,SWE,80,80,1928,2.87,2007,79.281
316,Ammonia Synthesis,DEU,93,93,1928,362.235,2020,1408.09008
315,Ammonia Synthesis,FRA,92,92,1928,45.715,2019,512.49336
320,Ammonia Synthesis,JPN,93,93,1928,41.82,2020,525.46304
319,Ammonia Synthesis,ITA,93,93,1928,25.42,2020,287.3882
693,Aquaculture Production,PRK,61,61,1960,5236.0,2020,680300.0
698,Aquaculture Production,PLW,32,32,1989,3.0,2020,22.0
697,Aquaculture Production,PAK,61,61,1960,1170.0,2020,162462.0
696,Aquaculture Production,KIR,37,37,1984,13.0,2020,2.0
695,Aquaculture Production,PRI,34,34,1987,97.0,2020,18.0
694,Aquaculture Production,OMN,23,23,1998,13.0,2020,1307.0
685,Aquaculture Production,PNG,33,33,1988,7.0,2020,6102.0
691,Aquaculture Production,PHL,61,61,1960,60769.0,2020,2322831.42
690,Aquaculture Production,MKD,29,29,1992,899.0,2020,1633.91
689,Aquaculture Production,NGA,61,61,1960,2005.0,2020,261710.74
688,Aquaculture Production,KAZ,33,33,1988,7034.0,2020,6795.06
687,Aquaculture Production,NER,37,37,1984,9.0,2020,649.0
686,Aquaculture Production,NOR,61,61,1960,1900.0,2020,1490412.05
699,Aquaculture Production,PAN,46,46,1975,2.0,2020,3879.1
692,Aquaculture Production,MNP,15,15,2006,6.0,2020,41.0
700,Aquaculture Production,PER,53,53,1968,5.0,2020,143829.72
1012,Aquaculture Production,LCA,36,36,1985,100.0,2020,91.89
702,Aquaculture Production,PRY,34,34,1987,22.0,2020,14100.0
722,Aquaculture Production,PRT,56,56,1965,1.0,2020,14551.75
721,Aquaculture Production,MDA,33,33,1988,7146.0,2020,12600.0
720,Aquaculture Production,LVA,33,33,1988,2926.0,2020,717.45
719,Aquaculture Production,MEX,61,61,1960,100.0,2020,278693.81
718,Aquaculture Production,MUS,44,44,1977,1.0,2020,3298.0
717,Aquaculture Production,MLT,31,31,1990,3.0,2020,19829.44
716,Aquaculture Production,LAO,58,58,1963,16.0,2020,130020.0
715,Aquaculture Production,MLI,37,37,1984,3.0,2020,7686.0
714,Aquaculture Production,MYS,61,61,1960,7841.0,2020,400017.01
713,Aquaculture Production,MWI,47,47,1974,2.0,2020,9393.0
712,Aquaculture Production,MDG,45,45,1976,4.0,2020,13550.45
710,Aquaculture Production,LBN,46,46,1975,5.0,2020,828.0
709,Aquaculture Production,LBY,34,34,1987,30.0,2020,10.0
964,Aquaculture Production,VEN,54,54,1967,2.0,2020,53609.0
707,Aquaculture Production,POL,61,61,1960,8100.0,2020,47700.0
706,Aquaculture Production,JOR,39,39,1982,15.0,2020,2055.0
705,Aquaculture Production,NZL,61,61,1960,2800.0,2020,118582.0
704,Aquaculture Production,KGZ,33,33,1988,1108.0,2020,2550.0
703,Aquaculture Production,NIC,38,38,1983,17.0,2020,29410.0
701,Aquaculture Production,KEN,61,61,1960,380.0,2020,20831.0
708,Aquaculture Production,LBR,39,39,1982,35.0,2020,255.0
974,Aquaculture Production,USA,61,61,1960,104421.0,2020,448534.61
966,Aquaculture Production,ZMB,44,44,1977,3.0,2020,45670.0
1008,Aquaculture Production,SEN,51,51,1970,100.0,2020,1100.0
1009,Aquaculture Production,SAU,35,35,1986,28.0,2020,99906.61
1010,Aquaculture Production,WSM,24,24,1997,1.0,2020,10.01
1011,Aquaculture Production,KNA,32,32,1989,3.0,2020,2.0
1013,Aquaculture Production,SDN,37,37,1984,10.0,2020,9850.0
1014,Aquaculture Production,SUR,29,29,1992,3.0,2020,37.0
1015,Aquaculture Production,SWE,61,61,1960,510.0,2020,12090.3
1016,Aquaculture Production,CHE,49,49,1972,5.0,2020,2048.1
1007,Aquaculture Production,SRB,15,15,2006,5013.05,2020,6010.26
1017,Aquaculture Production,SYR,53,53,1968,1.0,2020,2300.0
1019,Aquaculture Production,TZA,39,39,1982,13.0,2020,108568.01
1020,Aquaculture Production,THA,61,61,1960,31545.0,2020,962466.91
1021,Aquaculture Production,TLS,17,17,2004,15.0,2020,835.0
1022,Aquaculture Production,TGO,37,37,1984,40.0,2020,730.0
1023,Aquaculture Production,TON,23,23,1998,6.0,2020,105.2
1024,Aquaculture Production,TTO,32,32,1989,2.0,2020,4.2
1025,Aquaculture Production,TUN,46,46,1975,2.0,2020,23486.1
1026,Aquaculture Production,TUR,61,61,1960,60.0,2020,421411.0
1018,Aquaculture Production,TJK,33,33,1988,3227.0,2020,775.0
1006,Aquaculture Production,SYC,29,29,1989,7.0,2017,0.1
1005,Aquaculture Production,SLE,42,42,1979,1.0,2020,85.0
1004,Aquaculture Production,TKM,33,33,1988,2380.0,2020,150.0
968,Aquaculture Production,VIR,37,37,1984,6.0,2020,8.0
969,Aquaculture Production,VNM,61,61,1960,37660.0,2020,4614692.0
970,Aquaculture Production,VUT,17,17,2004,1.0,2020,3.08
972,Aquaculture Production,UZB,33,33,1988,20471.0,2020,98003.0
973,Aquaculture Production,URY,34,34,1987,3.0,2020,103.0
723,Aquaculture Production,MNE,15,15,2006,354.0,2020,885.0
975,Aquaculture Production,GBR,61,61,1960,35.0,2020,220999.85
976,Aquaculture Production,ARE,37,37,1984,7.0,2020,3047.78
977,Aquaculture Production,UKR,33,33,1988,96182.0,2020,18567.8
994,Aquaculture Production,UGA,37,37,1984,31.0,2020,123897.0
995,Aquaculture Production,TUV,18,18,2003,5.0,2020,2.5
996,Aquaculture Production,TCA,32,32,1987,360.0,2018,0.5
997,Aquaculture Production,SVK,28,28,1993,1588.0,2020,2296.0
998,Aquaculture Production,LKA,50,50,1971,5.0,2020,42118.9
999,Aquaculture Production,ESP,61,61,1960,6300.0,2020,276570.61
1000,Aquaculture Production,ZAF,47,47,1974,9.0,2020,9753.01
1001,Aquaculture Production,SLB,37,37,1984,28.0,2020,5504.0
1002,Aquaculture Production,SVN,29,29,1992,868.0,2020,1672.6
1003,Aquaculture Production,SGP,51,51,1970,10.0,2020,4828.85
965,Aquaculture Production,ZWE,49,49,1972,2.0,2020,15425.11
724,Aquaculture Production,KWT,36,36,1985,2.0,2020,450.0
711,Aquaculture Production,LTU,33,33,1988,3752.0,2020,4477.45
726,Aquaculture Production,MOZ,35,35,1986,5.0,2020,3162.0
797,Aquaculture Production,IRN,50,50,1971,60.0,2020,480500.0
796,Aquaculture Production,IDN,61,61,1960,80639.0,2020,14845014.0
795,Aquaculture Production,IND,61,61,1960,44843.0,2020,8641286.0
794,Aquaculture Production,ISL,46,46,1975,2.0,2020,40595.06
793,Aquaculture Production,HUN,61,61,1960,10000.0,2020,18373.33
792,Aquaculture Production,GEO,33,33,1988,1273.0,2020,2026.9
791,Aquaculture Production,HKG,61,61,1960,600.0,2020,3834.7
790,Aquaculture Production,HTI,21,21,2000,12.0,2020,1560.0
789,Aquaculture Production,GUY,38,38,1983,14.0,2020,137.63
788,Aquaculture Production,GIN,37,37,1984,3.0,2020,1135.0
787,Aquaculture Production,GTM,40,40,1981,8.0,2020,33651.0
786,Aquaculture Production,GUM,42,42,1979,2.0,2020,118.0
798,Aquaculture Production,IRQ,52,52,1969,2.0,2020,22704.0
785,Aquaculture Production,GRD,22,22,1999,1.0,2020,22.5
783,Aquaculture Production,GHA,55,55,1966,4.0,2020,64010.0
782,Aquaculture Production,HND,47,47,1974,2.0,2020,71151.1
781,Aquaculture Production,CIV,37,37,1984,21.0,2020,4620.0
780,Aquaculture Production,CRI,46,46,1975,2.0,2020,16268.95
779,Aquaculture Production,COG,38,38,1983,48.0,2020,900.0
778,Aquaculture Production,BRB,15,15,2006,2.0,2020,25.5
777,Aquaculture Production,BGD,61,61,1960,49237.0,2020,2583866.0
776,Aquaculture Production,BHR,26,26,1995,4.0,2020,5.5
775,Aquaculture Production,BHS,37,37,1984,10.0,2020,6.0
725,Aquaculture Production,MAR,55,55,1966,4.0,2020,1618.0
773,Aquaculture Production,AUT,61,61,1960,650.0,2020,4527.37
772,Aquaculture Production,AUS,61,61,1960,5700.0,2020,106088.35
784,Aquaculture Production,GRC,61,61,1960,330.0,2020,131737.18
771,Aquaculture Production,ABW,10,10,2011,2.0,2020,1.5
799,Aquaculture Production,IRL,61,61,1960,2100.0,2020,37750.7
801,Aquaculture Production,ITA,61,61,1960,2794.0,2020,122778.26
832,Aquaculture Production,RWA,43,43,1978,18.0,2020,7058.6
826,Aquaculture Production,RUS,33,33,1988,151377.0,2020,291194.0
825,Aquaculture Production,PSE,16,16,2005,10.0,2020,600.0
824,Aquaculture Production,QAT,25,25,1996,1.0,2020,22.8
823,Aquaculture Production,PYF,45,45,1976,2.0,2020,1371.0
822,Aquaculture Production,FRA,61,61,1960,111100.0,2020,191350.0
821,Aquaculture Production,FIN,56,56,1965,50.0,2020,15052.9
820,Aquaculture Production,FJI,37,37,1984,6.0,2020,322.3
819,Aquaculture Production,FRO,50,50,1971,5.0,2020,89055.0
818,Aquaculture Production,ETH,33,33,1988,1.0,2020,534.0
817,Aquaculture Production,SWZ,37,37,1984,8.0,2020,100.0
816,Aquaculture Production,EST,33,33,1988,401.0,2020,1090.15
800,Aquaculture Production,ISR,61,61,1960,9271.0,2020,14700.0
815,Aquaculture Production,GAB,37,37,1984,2.0,2020,60.0
813,Aquaculture Production,EGY,61,61,1960,4600.0,2020,1591896.0
812,Aquaculture Production,ECU,52,52,1969,10.0,2020,774568.55
811,Aquaculture Production,DOM,38,38,1983,3.0,2020,2680.0
810,Aquaculture Production,DMA,29,29,1992,6.0,2020,0.1
809,Aquaculture Production,DNK,61,61,1960,6045.0,2020,42629.0
808,Aquaculture Production,CZE,28,28,1993,20242.0,2020,20401.0
807,Aquaculture Production,CYP,47,47,1974,41.0,2020,7342.6
806,Aquaculture Production,CUB,54,54,1967,20.0,2020,26200.0
805,Aquaculture Production,SLV,37,37,1984,10.0,2020,8500.0
804,Aquaculture Production,HRV,29,29,1992,6802.0,2020,21718.27
803,Aquaculture Production,GMB,32,32,1989,53.0,2020,33.0
802,Aquaculture Production,DEU,61,61,1960,19810.0,2020,32258.0
814,Aquaculture Production,GNQ,15,15,2006,2.0,2020,15.0
770,Aquaculture Production,ARM,33,33,1988,4598.0,2020,18350.0
774,Aquaculture Production,AZE,33,33,1988,1656.0,2020,533.0
756,Aquaculture Production,BEN,37,37,1984,15.0,2020,2986.91
745,Aquaculture Production,BDI,37,37,1984,2.0,2020,1450.0
768,Aquaculture Production,ARG,59,59,1962,1.0,2020,2084.5
767,Aquaculture Production,AGO,21,21,2000,5.0,2020,2062.0
766,Aquaculture Production,ASM,30,30,1991,5.0,2020,20.0
765,Aquaculture Production,DZA,38,38,1983,2.0,2020,5435.99
764,Aquaculture Production,ALB,48,48,1973,3.0,2020,9284.0
763,Aquaculture Production,AFG,52,52,1969,60.0,2020,8050.0
759,Aquaculture Production,ATG,27,27,1994,5.0,2020,20.0
744,Aquaculture Production,BFA,38,38,1983,114.0,2020,651.0
758,Aquaculture Production,BEL,46,46,1975,4.0,2020,209.0
746,Aquaculture Production,KHM,45,45,1976,4.0,2020,400400.0
755,Aquaculture Production,COD,37,37,1984,81.0,2020,3590.0
754,Aquaculture Production,ROU,61,61,1960,13700.0,2020,12200.0
753,Aquaculture Production,COL,50,50,1971,4.0,2020,179350.99
752,Aquaculture Production,CHN,61,61,1960,958506.0,2020,70483538.48
751,Aquaculture Production,CHL,61,61,1960,80.0,2020,1505486.0
750,Aquaculture Production,TCD,13,13,2008,30.0,2020,105.0
749,Aquaculture Production,CAF,46,46,1975,5.0,2020,219.0
757,Aquaculture Production,BLZ,35,35,1986,23.0,2020,565.0
743,Aquaculture Production,BGR,61,61,1960,900.0,2020,15051.79
742,Aquaculture Production,BRN,34,34,1987,2.0,2020,3500.03
741,Aquaculture Production,BRA,52,52,1969,10.0,2020,630200.2
727,Aquaculture Production,MMR,61,61,1960,80.0,2020,1145018.0
728,Aquaculture Production,KOR,61,61,1960,18637.0,2020,2327903.0
729,Aquaculture Production,LSO,47,47,1974,10.0,2020,2600.0
730,Aquaculture Production,NAM,31,31,1990,20.0,2020,320.72
748,Aquaculture Production,CAN,61,61,1960,2975.0,2020,171007.0
732,Aquaculture Production,NPL,55,55,1966,3.0,2020,76822.0
733,Aquaculture Production,NLD,61,61,1960,77600.0,2020,39940.0
731,Aquaculture Production,NRU,20,20,2001,0.4,2020,0.5
736,Aquaculture Production,JPN,61,61,1960,308044.0,2020,996297.33
737,Aquaculture Production,JAM,44,44,1977,2.0,2020,917.55
769,Aquaculture Production,BLR,33,33,1988,16152.0,2020,9266.33
738,Aquaculture Production,BTN,33,33,1988,15.0,2020,181.0
739,Aquaculture Production,BOL,34,34,1987,45.0,2020,3720.0
740,Aquaculture Production,BIH,19,19,2002,4685.0,2020,3775.8
734,Aquaculture Production,NCL,38,38,1983,16.0,2020,1477.88
747,Aquaculture Production,CMR,44,44,1977,5.0,2020,3556.0
3932,Artificial and Synthetic Fibers,DEU,27,27,1913,2.1,1993,79.0
3951,Artificial and Synthetic Fibers,IDN,26,26,1973,2.0,1998,445.0
2842,Artificial and Synthetic Fibers,TUR,39,39,1960,1.0,1998,382.0
4026,Artificial and Synthetic Fibers,MYS,25,25,1974,3.0,1999,59.0
2784,Artificial and Synthetic Fibers,,39,39,1948,44.2,1987,451.0
510,Artificial and Synthetic Fibers,AUS,45,45,1954,1.0,1998,7.0
678,Artificial and Synthetic Fibers,ARG,63,63,1936,0.2,1998,46.0
512,Artificial and Synthetic Fibers,CHN,41,41,1958,3.0,1998,2128.0
514,Artificial and Synthetic Fibers,JPN,75,75,1924,1.0,1998,1761.0
3512,Artificial and Synthetic Fibers,ZAF,30,30,1964,1.0,1993,94.0
519,Artificial and Synthetic Fibers,ITA,76,76,1913,0.2,1993,674.0
533,Artificial and Synthetic Fibers,FRA,75,75,1910,1.2,1993,289.0
552,Artificial and Synthetic Fibers,GBR,73,73,1913,5.2,1993,241.0
3558,Artificial and Synthetic Fibers,IRN,30,30,1969,2.0,1998,62.0
553,Artificial and Synthetic Fibers,BRA,73,73,1926,0.1,1998,245.0
3323,Artificial and Synthetic Fibers,PAK,32,32,1967,3.0,1998,41.0
557,Artificial and Synthetic Fibers,BEL,73,73,1913,1.4,1993,61.0
509,Artificial and Synthetic Fibers,IND,48,48,1951,4.0,1998,955.0
562,Artificial and Synthetic Fibers,,72,72,1922,0.3,1993,39.0
3584,Artificial and Synthetic Fibers,THA,30,30,1969,1.0,1998,384.0
3688,Artificial and Synthetic Fibers,PHL,29,29,1970,2.0,1998,47.0
571,Artificial and Synthetic Fibers,POL,71,71,1922,0.2,1993,108.0
3288,Artificial and Synthetic Fibers,,33,33,1958,10.1,1990,183.0
435,Artificial and Synthetic Fibers,CAN,74,74,1925,0.2,1998,168.0
434,Artificial and Synthetic Fibers,USA,88,88,1911,1.0,1998,3124.0
588,Artificial and Synthetic Fibers,CHE,70,70,1913,0.1,1990,82.0
590,Artificial and Synthetic Fibers,SWE,69,69,1924,0.1,1992,8.2
3169,Artificial and Synthetic Fibers,KOR,35,35,1964,1.0,1998,1372.0
637,Artificial and Synthetic Fibers,ESP,66,66,1928,0.5,1993,256.0
564,Artificial and Synthetic Fibers,AUT,72,72,1913,0.7,1993,74.0
1223,Artificial and Synthetic Fibers,ROU,58,58,1936,0.3,1993,101.0
1750,Artificial and Synthetic Fibers,EGY,50,50,1949,1.0,1998,57.0
1832,Artificial and Synthetic Fibers,NLD,46,46,1922,1.1,1972,149.0
1557,Artificial and Synthetic Fibers,MEX,56,56,1943,0.2,1998,20.0
1594,Artificial and Synthetic Fibers,COL,54,54,1939,0.1,1993,82.8
1583,Artificial and Synthetic Fibers,FIN,54,54,1939,0.8,1993,41.4
1837,Artificial and Synthetic Fibers,NOR,46,46,1937,0.1,1982,20.0
1576,Artificial and Synthetic Fibers,RUS,55,55,1928,0.2,1993,170.0
1846,Artificial and Synthetic Fibers,DEU,45,45,1946,21.8,1990,116.0
3136,Automatic Transmission,USA,34,34,1951,0.36,1984,1.0
2060,BCG Vaccine,YEM,42,42,1980,0.09,2021,0.7
2055,BCG Vaccine,QAT,42,42,1980,0.04,2021,0.99
2051,BCG Vaccine,PAK,42,42,1980,0.06,2021,0.93
3589,BCG Vaccine,AZE,30,30,1992,0.69,2021,0.95
3595,BCG Vaccine,BIH,30,30,1992,0.2,2021,0.95
2046,BCG Vaccine,MDG,42,42,1980,0.21,2021,0.52
1966,BCG Vaccine,DMA,42,42,1980,0.65,2021,0.89
2043,BCG Vaccine,MYS,42,42,1980,0.94,2021,0.99
3604,BCG Vaccine,BLR,30,30,1992,0.95,2021,0.98
3605,BCG Vaccine,MDA,30,30,1992,0.92,2021,0.98
1974,BCG Vaccine,HUN,42,42,1980,0.99,2021,0.99
3602,BCG Vaccine,RUS,30,30,1992,0.86,2021,0.95
3655,BCG Vaccine,EST,29,29,1993,0.98,2021,0.9
3654,BCG Vaccine,ERI,29,29,1993,0.4,2021,0.97
3652,BCG Vaccine,MKD,29,29,1993,0.95,2021,0.93
1979,BCG Vaccine,IRQ,42,42,1980,0.76,2021,0.94
1981,BCG Vaccine,LBY,42,42,1980,0.88,2021,0.74
5618,BCG Vaccine,SVN,13,13,1992,0.93,2004,0.96
3608,BCG Vaccine,SRB,30,30,1992,0.97,2021,0.98
1970,BCG Vaccine,COD,42,42,1980,0.57,2021,0.67
2042,BCG Vaccine,MDV,42,42,1980,0.07,2021,0.99
2064,BCG Vaccine,PHL,42,42,1980,0.56,2021,0.47
2067,BCG Vaccine,PER,42,42,1980,0.57,2021,0.87
2077,BCG Vaccine,CRI,42,42,1980,0.8,2021,0.88
1922,BCG Vaccine,GTM,42,42,1980,0.36,2021,0.84
1924,BCG Vaccine,HND,42,42,1980,0.25,2021,0.82
1925,BCG Vaccine,EGY,42,42,1980,0.5,2021,0.97
1929,BCG Vaccine,KIR,42,42,1980,0.66,2021,0.96
1932,BCG Vaccine,GUY,42,42,1980,0.68,2021,0.89
1934,BCG Vaccine,PRK,42,42,1980,0.5,2021,0.95
1937,BCG Vaccine,SLV,42,42,1980,0.56,2021,0.78
1939,BCG Vaccine,LSO,42,42,1980,0.81,2021,0.96
1942,BCG Vaccine,FJI,42,42,1980,0.95,2021,0.99
2063,BCG Vaccine,POL,42,42,1980,0.93,2021,0.91
1952,BCG Vaccine,ECU,42,42,1980,0.76,2021,0.75
5812,BCG Vaccine,SSD,11,11,2011,0.75,2021,0.52
3772,BCG Vaccine,JPN,28,28,1981,0.85,2021,0.95
3768,BCG Vaccine,FRA,28,28,1980,0.8,2007,0.78
1953,BCG Vaccine,IRN,42,42,1980,0.07,2021,0.99
1956,BCG Vaccine,GMB,42,42,1980,0.85,2021,0.81
1960,BCG Vaccine,DOM,42,42,1980,0.29,2021,0.99
1965,BCG Vaccine,IDN,42,42,1980,0.61,2021,0.81
2075,BCG Vaccine,CUB,42,42,1980,0.99,2021,0.99
2070,BCG Vaccine,PNG,42,42,1980,0.62,2021,0.42
2068,BCG Vaccine,PRY,42,42,1980,0.31,2021,0.79
3781,BCG Vaccine,PSE,28,28,1994,0.99,2021,0.99
3576,BCG Vaccine,ARM,30,30,1992,0.88,2021,0.98
2468,BCG Vaccine,IND,41,41,1981,0.04,2021,0.84
2041,BCG Vaccine,PAN,42,42,1980,0.99,2021,0.99
2033,BCG Vaccine,NIC,42,42,1980,0.34,2021,0.86
2004,BCG Vaccine,TON,42,42,1980,0.99,2021,0.99
5355,BCG Vaccine,KWT,16,16,2006,0.84,2021,0.99
3256,BCG Vaccine,FSM,33,33,1989,0.08,2021,0.59
2032,BCG Vaccine,NIU,42,42,1980,0.85,2021,0.88
2031,BCG Vaccine,OMN,42,42,1980,0.51,2021,0.99
3189,BCG Vaccine,KNA,34,34,1988,0.75,2021,0.96
3156,BCG Vaccine,PRT,35,35,1981,0.74,2015,0.32
5316,BCG Vaccine,CZE,17,17,1993,0.98,2009,0.98
3130,BCG Vaccine,ROU,36,36,1986,0.93,2021,0.97
5366,BCG Vaccine,MNE,16,16,2006,0.98,2021,0.76
2005,BCG Vaccine,VEN,42,42,1980,0.72,2021,0.68
2006,BCG Vaccine,THA,42,42,1980,0.68,2021,0.99
2007,BCG Vaccine,SOM,42,42,1980,0.06,2021,0.37
2010,BCG Vaccine,LKA,42,42,1980,0.61,2021,0.99
5161,BCG Vaccine,SVK,19,19,1994,0.98,2012,0.9
2013,BCG Vaccine,SDN,42,42,1980,0.02,2021,0.8
2014,BCG Vaccine,SWE,42,42,1980,0.03,2021,0.24
2015,BCG Vaccine,SYR,42,42,1980,0.35,2021,0.76
2030,BCG Vaccine,MUS,42,42,1980,0.89,2021,0.95
2016,BCG Vaccine,SLB,42,42,1980,0.65,2021,0.83
2027,BCG Vaccine,URY,42,42,1980,0.56,2021,0.99
3107,BCG Vaccine,SEN,36,36,1986,0.92,2021,0.87
5017,BCG Vaccine,JOR,20,20,2002,0.29,2021,0.76
5015,BCG Vaccine,TLS,20,20,2002,0.75,2021,0.88
2003,BCG Vaccine,ARE,42,42,1980,0.15,2021,0.99
1983,BCG Vaccine,TZA,42,42,1980,0.72,2021,0.75
3552,BCG Vaccine,GEO,30,30,1992,0.67,2021,0.96
3550,BCG Vaccine,UZB,30,30,1992,0.98,2021,0.99
1993,BCG Vaccine,TUV,42,42,1980,0.99,2021,0.99
2039,BCG Vaccine,MEX,42,42,1980,0.48,2021,0.99
3542,BCG Vaccine,UKR,30,30,1992,0.93,2021,0.86
3536,BCG Vaccine,KAZ,30,30,1992,0.9,2021,0.94
5533,BCG Vaccine,MLT,14,14,1983,0.63,1996,0.96
1997,BCG Vaccine,SGP,42,42,1980,0.85,2021,0.98
3527,BCG Vaccine,LVA,30,30,1992,0.93,2021,0.96
3525,BCG Vaccine,LTU,30,30,1992,0.94,2021,0.93
3523,BCG Vaccine,TJK,30,30,1992,0.88,2021,0.98
5484,BCG Vaccine,GRC,15,15,1980,0.95,1994,0.5
1999,BCG Vaccine,SAU,42,42,1980,0.33,2021,0.94
3518,BCG Vaccine,KGZ,30,30,1992,0.97,2021,0.97
2037,BCG Vaccine,MNG,42,42,1980,0.51,2021,0.99
2000,BCG Vaccine,WSM,42,42,1980,0.72,2021,0.92
2035,BCG Vaccine,MMR,42,42,1980,0.09,2021,0.48
3481,BCG Vaccine,NAM,31,31,1991,0.91,2021,0.99
2463,BCG Vaccine,MRT,41,41,1981,0.57,2021,0.79
2001,BCG Vaccine,LCA,42,42,1980,0.27,2021,0.81
3412,BCG Vaccine,MHL,32,32,1990,0.49,2021,0.83
2034,BCG Vaccine,NPL,42,42,1980,0.22,2021,0.95
3560,BCG Vaccine,TKM,30,30,1992,0.97,2021,0.98
3559,BCG Vaccine,HRV,30,30,1992,0.92,2021,0.97
1978,BCG Vaccine,JAM,42,42,1980,0.38,2021,0.97
2602,BCG Vaccine,STP,41,41,1981,0.95,2021,0.93
2231,BCG Vaccine,BOL,42,42,1980,0.3,2021,0.78
2230,BCG Vaccine,BWA,42,42,1980,0.92,2021,0.98
2229,BCG Vaccine,BRA,42,42,1980,0.56,2021,0.63
2228,BCG Vaccine,BRN,42,42,1980,0.99,2021,0.99
2227,BCG Vaccine,BGR,42,42,1980,0.99,2021,0.97
2226,BCG Vaccine,CAF,42,42,1980,0.17,2021,0.61
2224,BCG Vaccine,CHL,42,42,1980,0.96,2021,0.98
2223,BCG Vaccine,COL,42,42,1980,0.45,2021,0.87
2192,BCG Vaccine,COK,42,42,1980,0.29,2021,0.99
2954,BCG Vaccine,GNQ,37,37,1985,0.28,2021,0.85
2452,BCG Vaccine,MLI,41,41,1981,0.19,2021,0.83
2959,BCG Vaccine,DZA,37,37,1985,0.86,2021,0.99
2643,BCG Vaccine,NGA,41,41,1981,0.23,2021,0.75
2823,BCG Vaccine,CHN,39,39,1983,0.34,2021,0.99
2812,BCG Vaccine,AGO,39,39,1983,0.25,2021,0.56
2923,BCG Vaccine,VCT,38,38,1984,0.32,2021,0.99
2407,BCG Vaccine,LAO,41,41,1981,0.04,2021,0.8
2705,BCG Vaccine,AFG,40,40,1982,0.1,2021,0.84
2766,BCG Vaccine,MAR,40,40,1982,0.5,2021,0.99
2232,BCG Vaccine,BTN,42,42,1980,0.43,2021,0.99
2827,BCG Vaccine,GHA,39,39,1983,0.31,2021,0.99
2952,BCG Vaccine,CIV,38,38,1984,0.17,2021,0.93
3895,BCG Vaccine,FIN,27,27,1980,0.9,2006,0.98
2935,BCG Vaccine,KHM,38,38,1984,0.27,2021,0.95
2920,BCG Vaccine,NRU,38,38,1984,0.81,2021,0.99
2944,BCG Vaccine,COM,38,38,1984,0.56,2021,0.96
2918,BCG Vaccine,TCD,38,38,1984,0.08,2021,0.67
2683,BCG Vaccine,TUN,40,40,1982,0.87,2021,0.85
2236,BCG Vaccine,ALB,42,42,1980,0.93,2021,0.99
2492,BCG Vaccine,SWZ,41,41,1981,0.59,2021,0.97
2909,BCG Vaccine,GNB,38,38,1984,0.42,2021,0.34
2664,BCG Vaccine,NER,41,41,1981,0.28,2021,0.95
2996,BCG Vaccine,CPV,37,37,1985,0.64,2021,0.98
2877,BCG Vaccine,VNM,39,39,1983,0.04,2021,0.88
3995,BCG Vaccine,MCO,25,25,1988,0.99,2012,0.89
2849,BCG Vaccine,ZAF,39,39,1983,0.71,2021,0.86
2662,BCG Vaccine,RWA,41,41,1981,0.51,2021,0.89
2841,BCG Vaccine,IRL,34,34,1983,0.75,2016,0.18
2692,BCG Vaccine,DJI,40,40,1982,0.05,2021,0.61
2522,BCG Vaccine,ETH,41,41,1981,0.05,2021,0.68
2653,BCG Vaccine,KOR,41,41,1981,0.42,2021,0.98
2950,BCG Vaccine,KEN,38,38,1984,0.76,2021,0.97
2233,BCG Vaccine,BLZ,42,42,1980,0.71,2021,0.84
2494,BCG Vaccine,BGD,41,41,1981,0.01,2021,0.99
2999,BCG Vaccine,BFA,37,37,1985,0.33,2021,0.98
2234,BCG Vaccine,ARG,42,42,1980,0.62,2021,0.81
2572,BCG Vaccine,HTI,41,41,1981,0.6,2021,0.73
2474,BCG Vaccine,BDI,41,41,1981,0.59,2021,0.95
2576,BCG Vaccine,UGA,41,41,1981,0.18,2021,0.83
2584,BCG Vaccine,SYC,41,41,1981,0.67,2021,0.99
2475,BCG Vaccine,CMR,41,41,1981,0.08,2021,0.77
6030,BCG Vaccine,AUT,10,10,1980,0.9,1989,0.9
2440,BCG Vaccine,MOZ,41,41,1981,0.46,2021,0.79
2419,BCG Vaccine,MWI,41,41,1981,0.86,2021,0.89
2709,BCG Vaccine,GAB,40,40,1982,0.82,2021,0.86
