Technology Name,Country Name,Metric,Unit,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,Data Source,Country Code,Spatial Scale,ID
Passenger Cars,US,Cumulative Total Capacity,MW,0.0,0.9307037065148639,4.47270303179504,12.81465176744192,39.40992382944109,80.71095081860716,155.43594985601155,278.53411269299556,502.6664106070864,1030.4544292774654,1944.8939976974136,3137.060970248842,5596.133634674201,9172.523491183663,13917.954200505967,22866.28995213186,39377.68550051871,60408.78616212742,74777.18789739317,99840.89354301698,132080.8343681692,157330.36256189816,200082.46765443694,272755.2335070105,342126.70952723874,429691.9662345833,523568.80469176173,602328.6349551574,709171.8319073792,847384.5447159088,939217.3944690435,1007646.9873999627,1047884.8390746762,1107797.4959486674,1198722.3684076804,1336771.1497974312,1498854.273141875,1681646.1082659594,1780825.309529149,1928615.0132777097,2120229.3916284875,2335794.3742636195,2383960.5065861703,2417539.133417631,2454253.676192403,2491617.3604401485,2656967.140393506,2921446.3778571216,3219022.443690282,3586588.7843444673,4073028.223702356,4496515.230346975,4855853.352311752,5345040.705711276,5793073.24243592,6442311.572815388,6944312.803348789,7482922.539497172,7875489.602139923,8404860.919311173,9043852.746040238,9594447.320922095,10288729.822928656,11077938.640251126,11902599.062075956,12911273.240126071,13864651.676847097,14702173.508030286,15718110.817042993,16687016.941107832,17481839.483855907,18414451.817064498,19372292.528653435,20441475.834601346,21223978.981620345,21888932.754037727,22742936.518706277,23668927.627221905,24515453.5074976,25287096.82062564,25769888.41252156,26234344.17332622,26607368.344818916,27136448.14027305,27753880.61289821,28423276.82632079,29075258.216029886,29677874.04221596,30308586.058548473,30946109.834861994,31566299.07820664,32116439.49800696,32749460.229121737,33476674.172032632,34335896.22846947,35181370.55012467,36024675.63228125,36902100.98603799,37788061.28082587,38779441.7885261,39775197.90384143,40665982.019206375,41651917.46936725,42639221.68551815,43655035.043135025,44683418.64844342,Wilson & Grubler,US,National,Passenger Cars_Cumulative Total Capacity_US
Passenger Cars,World,Cumulative Total Capacity,MW,0.0,1.0805392347545921,5.473023132154106,16.447669169563,49.55200556501011,102.48453383219268,197.67568388950048,338.8648831896501,592.1054739148674,1170.3065948928313,2156.2260802175056,3455.393846918034,6064.388109877607,9844.482546056717,14642.05629656745,23687.935924067566,40342.021691215996,61695.77447997626,76377.99041250607,101850.21610021232,134651.56152636855,160439.40581052843,204328.5845756728,278740.208972695,350528.85995078844,441445.07403991546,539438.9327642112,622929.2797597154,735650.2080277724,880711.3664343122,978101.3114999566,1051366.1186078663,1096206.259648604,1162272.330075396,1261437.6499224158,1410074.1852409262,1584700.0540216514,1782368.1752460306,1896511.717513586,2056735.0581216759,2253667.2821940593,2474616.9097246667,2528040.8522451012,2566235.6433654013,2607224.3971039616,2649879.8728866368,2826904.1403423906,3107018.8049794803,3424811.3119726744,3820441.7712287037,4348222.821952987,4817626.672295534,5225756.860447729,5772407.326030383,6289803.443906065,7027585.986052358,7624042.660395646,8270858.495488801,8795399.115804838,9481270.617794618,10309809.940330999,11051620.74247349,11977533.220195593,13044966.21883193,14178428.015777588,15517708.912531245,16840388.87179089,18063510.561571717,19526827.933462568,21031297.050561737,22427576.26045502,24045825.341484692,25771711.02127527,27716464.22015649,29347048.25339737,30858241.52152091,32665053.03001671,34641918.934785984,36589687.90067614,38523771.79103957,40200729.07375248,41788042.18182371,43322150.53537539,45118518.11629387,46990754.80906933,49020305.01306011,51070186.669515535,53166325.378066085,55401596.140362926,57732085.64307083,60091938.01267113,62390529.142709464,64816912.06275019,67231830.108897,69891886.92950957,72602871.42039308,75425650.54700814,78401456.38382226,81392764.95680195,84663417.11274764,88080152.5779591,91332971.71540831,94774542.68399075,98363546.46309412,102158676.32497174,106121446.0756872,Wilson & Grubler,World,Global,Passenger Cars_Cumulative Total Capacity_World
Passenger Cars,US,Cumulative Total No. of Units, #,3554.582669196711,9490.193042378241,17121.692093611637,26648.346742567992,46006.91600253004,67205.52447817835,96035.63200506008,133345.18292220111,188461.56495888677,296393.85604048066,454959.44743833016,633027.7586337761,953550.7187855787,1364803.7232131562,1850708.8993042377,2673155.5520556606,4044881.8928526244,5633886.339025932,6626562.9055028455,8217608.353700189,10106276.329285262,11476655.286527514,13633974.923213156,17054592.562175836,20109345.961290322,23726532.361037318,27373484.99886148,30257620.125743203,33953605.14497154,38479157.85351044,41330642.035673626,43349110.78684377,44478453.934218846,46080913.56116382,48401796.57318153,51769187.898039214,55552259.34471853,59639536.75863378,61766526.2742568,64809704.38519924,68601953.98140417,72706430.25034788,73589584.63010752,74182999.82099937,74808896.36774194,75423838.32156864,78053161.08690703,82119551.93586339,86546461.58355473,91840885.27767238,98629408.0957622,104358979.86578117,109075073.29879825,115306720.54345353,120849502.89475018,128654024.14041747,134520746.6675522,140643270.25932956,144985821.31650856,150687049.69905126,157390148.90853894,163018400.20221925,169937056.11791483,177607108.0793934,185426513.41361636,194761370.93291965,203376093.20910975,210767844.85872737,219528667.6838802,227695121.4205023,234245081.09577996,242590605.33030874,251338009.0891118,261035816.85281166,268651419.2568895,275368124.02878225,283865673.92598176,293079515.8017591,302255948.10827076,310689208.3610362,317062694.72269845,323317991.16451204,328393149.9603311,335176224.2610251,342942670.457568,351131003.34347117,358962611.6282651,366073122.8516996,373199812.3017845,380110639.1452915,386328075.1687967,391927468.7545506,397999610.0602079,404925457.1355498,412718854.4728453,420335740.25352275,427834416.5427354,435536464.00005955,443166696.01364434,451444538.0906843,459560954.30303574,466821742.888164,474625845.8108559,482307573.94634616,489908796.33386964,497520888.27479374,Wilson & Grubler,US,National,Passenger Cars_Cumulative Total No. of Units_US
Passenger Cars,World,Cumulative Total No. of Units, #,7344.508969195341,19329.56679782019,37171.53050581493,62245.94996325193,104192.49319220007,152722.35627684844,216166.88930104545,275150.93139824376,357084.24568169983,499983.78488074505,696854.3369594833,925303.8047071188,1296836.7334903595,1765237.7387980781,2229073.927767304,3013372.2790796175,4308836.553823208,5849018.878260931,6834564.812249786,8380196.787071638,10221403.517739004,11575775.32927803,13746959.472597586,17154176.40846535,20318344.501222886,24105534.678054187,27992027.1910115,31228726.9465248,35307498.14789345,40210791.71534247,43405032.57393926,45735598.89869312,47215981.124481514,49252434.02193161,52101665.33525113,56069384.84081704,60546606.4726961,65463626.94595529,68551846.91192584,72245004.34508282,76032532.99991585,80094364.07280031,81199702.62651347,81993510.8186691,82788800.43166795,83657162.65400068,86681370.86582084,91204882.84195113,96278073.04675142,102494407.78882875,110668738.85500836,117599372.69785266,123520080.5123635,131636455.99819194,139505370.62162787,150609666.6057806,159663527.1425001,169558372.27764404,178294338.51825023,189046993.86696577,201816682.01557383,213195214.4639234,227370913.3797009,243593384.4907049,260571215.4448701,279769807.82632035,299062202.6291475,317769269.3661541,339583480.0116389,362922969.9982638,385727818.5853647,412475554.87957597,440605472.42436373,470885671.04450315,497172357.4797354,522466880.239461,551544619.5697035,582299917.6490067,613852029.1044216,645037239.9498833,673989056.1958132,701757898.867298,728752156.601474,759072670.7876532,789801686.4368924,822301661.6486506,855321250.5773143,888526605.3231294,922893243.613301,958612388.1660835,995005526.0861473,1030372108.353734,1065922411.3252126,1100113342.8139725,1136342854.821557,1172843052.1342063,1210372400.959239,1249358003.7355704,1287311029.8493886,1327234410.5833416,1368492994.6146545,1408353978.111827,1449616633.3829045,1492112021.8435624,1536406437.4126666,1582059095.2813027,Wilson & Grubler,World,Global,Passenger Cars_Cumulative Total No. of Units_World
Passenger Cars,US, Average Capacity of Unit Additions,MW,0.0,0.0001568,0.0004641289085540436,0.000875643029272688,0.0013738242586452027,0.0019482895321459518,0.0025919084404291393,0.0032993740157946875,0.004066527766008075,0.004889991803022,0.00576694830422302,0.006694997917079802,0.007672064002094326,0.008696325176973317,0.00976616620447934,0.01088014124890657,0.012036945750268119,0.013235394471208993,0.014474404071267979,0.01575297907047283,0.0170702003962157,0.018425215930446773,0.019817232627715845,0.02124550988242344,0.02270935390082149,0.024208112889473804,0.025741172913390793,0.027307954308142823,0.02890790855384174,0.030540515536974587,0.03220528114010738,0.03390173511046394,0.035629429167067454,0.03738793531304907,0.03917684432528352,0.04099576439800475,0.04284431992071311,0.04472215037368515,0.046628909326870215,0.048564263530008,0.05052789208351018,0.05251948568108255,0.05453874591626811,0.05658538464611232,0.058659123406016145,0.06075969287058206,0.06288683235588867,0.06504028935917333,0.06721981913237113,0.06942518428635946,0.07165615442311578,0.07391250579329356,0.07619402097699608,0.0785004885857568,0.08083170298394149,0.08318746402796899,0.08556757682190486,0.08797185148812563,0.09040010295187385,0.0928521507386372,0.09532781878338108,0.09782693525075752,0.10034933236548424,0.1028948462521671,0.10546331678389431,0.10805458743899492,0.11066850516539949,0.11330492025209164,0.11596368620717806,0.11864465964214345,0.12134770016189216,0.11175,0.1095,0.11025,0.10275,0.099,0.1005,0.1005,0.09225,0.0915,0.07575,0.07425,0.0735,0.078,0.0795,0.08175,0.08325,0.08475,0.0885,0.09225,0.09975,0.09825,0.10425,0.105,0.11025,0.111,0.11246052631578947,0.11392105263157895,0.11611184210526317,0.11976315789473684,0.12268421052631578,0.12268421052631578,0.12633552631578945,0.12852631578947368,0.13363815789473682,0.135098684210526,Wilson & Grubler,US,National,Passenger Cars_ Average Capacity of Unit Additions_US
Passenger Cars,World, Average Capacity of Unit Additions,MW,0.0,9.015719825513533e-05,0.0002461883663305122,0.0004376829563706548,0.0007892029675666136,0.0010907207418832984,0.001500383808026501,0.002393684703186117,0.0030908134614096947,0.004046207036207344,0.005007958147698781,0.005686893383948257,0.007022242339337056,0.008070209912755753,0.010343250191780621,0.01153372260997904,0.01285568895401978,0.013864431794823981,0.014897546046489851,0.016480136347232433,0.01781513443320241,0.01904044669598972,0.020214397245017432,0.02183941492356746,0.022688001671722306,0.024006244694370116,0.02521395793188604,0.025794900145831946,0.027636001801285868,0.0295844326698165,0.030489230266883275,0.03143648233896423,0.030289569990518985,0.032441737547436095,0.03480423628065728,0.037461452380896224,0.03900317722431707,0.040200792797056885,0.036960949519566674,0.04338383713881584,0.05199491331137257,0.05439655750471738,0.04833265097011889,0.04811589436558931,0.05153940535448604,0.049121754362007115,0.05853574061595776,0.061924156742637314,0.06264155179762347,0.06364368646013753,0.06456565637620411,0.06772884861421359,0.06893266834616024,0.06735154953551983,0.06575190386927378,0.06644118125086024,0.06587871239282463,0.06536897003024662,0.06004380120860431,0.06378624439699085,0.06488328555045375,0.06519389082113922,0.06531688371933227,0.06579965477098482,0.06676128417143777,0.06975932767069307,0.06855965642304891,0.06538286878301613,0.06708092241667872,0.06446023961797503,0.0612272957902057,0.060500412566871824,0.06135409664968502,0.0642252457877789,0.06203079407739268,0.05974389327201235,0.06213727580316458,0.06427724744113618,0.06173181052058836,0.06201926611776926,0.057922351691792565,0.05716165872844246,0.05683091450999318,0.05924594714615078,0.060927324003683565,0.06244774621417251,0.062080774563367455,0.06312652656766825,0.06504187995996394,0.06524482968129677,0.06484333323451327,0.06499330675062089,0.06825210243601504,0.07063036720542995,0.0734223751083285,0.07427314618773372,0.07521524393549364,0.07633089204460776,0.07881607553529414,0.08192322633549311,0.08281271753335849,0.08160408630358915,0.08340643484944933,0.08445631182842486,0.0856796463643774,0.0868026076842709,Wilson & Grubler,World,Global,Passenger Cars_ Average Capacity of Unit Additions_World
Passenger Cars,US,Maximum Capacity of Unit Additions,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilson & Grubler,US,National,Passenger Cars_Maximum Capacity of Unit Additions_US
Passenger Cars,World,Maximum Capacity of Unit Additions,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilson & Grubler,World,Global,Passenger Cars_Maximum Capacity of Unit Additions_World
