Technology Name,Country Name,Metric,Unit,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,Data Source,Country Code,Spatial Scale,ID
Coal Power,World,Cumulative Total Capacity,MW,12.0,12.0,42.1,57.1,101.1,202.6,234.1,278.9,317.9,475.7,794.7,1045.0,1215.5,1522.4,1763.2,1910.6000000000001,2468.2000000000003,3027.1000000000004,3653.2000000000003,4386.3,4924.900000000001,5935.6,6785.780000000001,7080.780000000001,7226.68,7363.38,7418.9800000000005,7780.68,7982.58,8173.58,9175.68,9514.53,10007.43,10976.53,12264.230000000001,13113.830000000002,13614.330000000002,14133.630000000001,14385.93,15100.23,16356.18,19502.63,22626.13,26756.08,32466.480000000003,41365.48,51615.11,63835.81,71030.23999999999,81117.93999999999,94681.63999999998,110810.83999999998,126486.14999999998,140282.74999999997,155273.32999999996,171216.57999999996,185952.02999999997,205427.48999999996,221635.78199999995,248089.23199999996,271475.70199999993,302215.6119999999,336692.8119999999,365986.8119999999,393985.4119999999,426266.6119999999,450160.01199999993,473763.6119999999,496193.2119999999,520036.4819999999,546210.722,571542.8859999999,601958.2279999999,625844.9519999999,653882.602,681212.762,715186.022,747888.813,775002.1529999999,802128.1129999999,820652.4929999999,842243.0929999999,861067.3229999999,882245.9729999999,902551.3429999999,922753.8929999999,943329.913,964192.213,989955.513,1013839.263,1036414.1630000001,1061707.141,1090642.041,Wilson & Grubler,World,Global,Coal Power_Cumulative Total Capacity_World
Coal Power,World,Cumulative Total No. of Units, #,1.0,1.0,7.0,8.0,11.0,18.0,22.0,25.0,33.0,46.0,58.0,70.0,78.0,92.0,103.0,115.0,145.0,170.0,189.0,221.0,254.0,282.0,309.0,326.0,334.0,348.0,358.0,375.0,391.0,410.0,453.0,473.0,501.0,535.0,582.0,607.0,620.0,642.0,664.0,697.0,753.0,838.0,920.0,1005.0,1118.0,1261.0,1416.0,1586.0,1719.0,1879.0,2056.0,2234.0,2412.0,2547.0,2697.0,2844.0,2999.0,3139.0,3279.0,3448.0,3589.0,3744.0,3880.0,3998.0,4119.0,4236.0,4340.0,4437.0,4534.0,4636.0,4743.0,4836.0,4933.0,5027.0,5149.0,5270.0,5406.0,5540.0,5657.0,5785.0,5892.0,6011.0,6106.0,6206.0,6318.0,6415.0,6503.0,6600.0,6708.0,6810.0,6906.0,7008.0,7094.0,Wilson & Grubler,World,Global,Coal Power_Cumulative Total No. of Units_World
Coal Power,World, Average Capacity of Unit Additions,MW,12.0,0.0,5.016666666666667,15.0,14.666666666666666,14.5,7.875,14.933333333333332,4.875,12.13846153846154,26.583333333333332,20.858333333333334,21.3125,21.921428571428574,21.89090909090909,12.283333333333333,18.586666666666666,22.355999999999998,32.95263157894737,22.909374999999997,16.32121212121212,36.09642857142857,31.488148148148145,17.352941176470587,18.2375,9.764285714285714,5.5600000000000005,21.276470588235295,12.618749999999999,10.052631578947368,23.304651162790698,16.942500000000003,17.603571428571428,28.50294117647059,27.397872340425533,33.984,38.5,23.60454545454546,11.468181818181819,21.645454545454545,22.427678571428572,37.01705882352941,38.09146341463415,48.58764705882353,50.53451327433628,62.23076923076923,66.12664516129033,71.88647058823528,54.09345864661655,63.048125000000006,76.63107344632768,90.61348314606742,88.0635393258427,102.19703703703703,99.9372,108.45748299319729,95.06741935483872,139.11042857142857,115.7735142857143,156.5292899408284,165.86148936170213,198.32199999999995,253.50882352941176,248.25423728813558,231.393388429752,275.9076923076923,229.7442307692308,243.3360824742268,231.23298969072167,233.75754901960784,244.61906542056073,272.38886021505374,313.56022680412366,254.11408510638296,229.81680327868852,225.86909090909086,249.80338235294118,244.0506791044776,231.7379487179487,211.9215625,173.12504672897197,181.43361344537814,198.14978947368425,211.78650000000002,181.2979464285714,208.27371134020618,233.81840909090909,215.07525773195874,238.54907407407407,234.15441176470588,235.15520833333335,247.97037254901963,336.45232558139537,Wilson & Grubler,World,Global,Coal Power_ Average Capacity of Unit Additions_World
Coal Power,World,Maximum Capacity of Unit Additions,MW,12.0,0.0,10.0,15.0,20.0,20.0,15.0,30.0,10.0,35.0,45.0,30.0,36.0,42.8,60.0,30.0,40.0,70.0,60.0,82.5,109.0,208.0,300.0,115.0,90.0,21.0,20.0,165.0,36.0,27.0,208.0,60.0,105.0,100.0,92.0,80.0,100.0,111.1,81.3,121.0,115.2,137.0,152.5,152.5,225.0,219.7,219.7,225.0,350.0,300.0,358.1,374.1,495.6,575.0,389.0,704.0,579.7,660.0,660.0,950.0,936.0,818.1,1150.2,936.0,892.8,1300.0,1300.0,1300.0,952.0,913.8,952.0,793.3,1300.0,850.0,891.0,850.0,1300.0,813.4,820.0,911.0,729.0,1300.0,1000.0,1425.6,800.0,729.0,1000.0,1000.0,660.0,1000.0,1000.0,933.0,1050.0,Wilson & Grubler,World,Global,Coal Power_Maximum Capacity of Unit Additions_World
