Technology Name,Country Name,Metric,Unit,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,Data Source,Country Code,Spatial Scale,ID
Natural Gas Power,World,Cumulative Total Capacity,MW,10.0,10.0,10.0,16.0,16.0,19.1,19.1,19.1,28.700000000000003,37.5,37.5,42.5,42.5,42.5,62.5,111.5,171.5,248.5,276.0,331.0,372.3,551.8,633.3,785.3,979.3,1273.3,1548.675,2001.0749999999998,2139.075,2183.075,2187.075,2193.075,2204.075,2629.375,2773.775,3151.3250000000003,3283.3199900000004,3935.9199900000003,4573.91999,4823.17799,5299.97799,5316.95799,5519.96799,5609.81998,6039.1149700000005,7875.679970000001,10342.23997,12340.81997,15539.11197,17357.69397,21214.57397,25435.86997,28331.71797,32341.72397,35603.88997,40739.02197,45681.18797,50607.08697,55368.58697,59160.51093,63395.79793,68942.80393,75314.80393,83527.39893,94517.51293,103079.49093,114405.30292999999,126957.45392999999,140389.90892999998,158589.56392,173847.79192,190884.96792,206408.38792,220437.56792,232929.33492,241706.88592,254310.63292,263119.97292000003,271713.79892000003,278860.33592000004,291266.65792,299888.53292,307435.75892000005,314576.87091000006,322355.49890000006,330808.9689000001,341515.5078900001,350022.9848900001,359444.16776000004,373114.57356000005,393295.49448000005,414634.51985000004,436831.45785000006,459089.98085000005,478159.65685,495682.88385000004,521080.21285,565132.50785,Wilson & Grubler,World,Global,Natural Gas Power_Cumulative Total Capacity_World
Natural Gas Power,World,Cumulative Total No. of Units, #,1.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,6.0,7.0,7.0,8.0,8.0,8.0,10.0,14.0,18.0,24.0,27.0,32.0,40.0,50.0,56.0,74.0,87.0,104.0,121.0,141.0,146.0,150.0,151.0,153.0,156.0,171.0,181.0,199.0,220.0,232.0,247.0,264.0,277.0,281.0,296.0,310.0,348.0,418.0,500.0,563.0,638.0,712.0,793.0,874.0,953.0,1027.0,1101.0,1209.0,1284.0,1364.0,1457.0,1543.0,1637.0,1737.0,1841.0,1976.0,2120.0,2278.0,2468.0,2665.0,2862.0,3086.0,3262.0,3445.0,3627.0,3785.0,3943.0,4125.0,4270.0,4424.0,4606.0,4835.0,5096.0,5372.0,5654.0,5965.0,6530.0,7094.0,7658.0,8314.0,8911.0,9589.0,10208.0,11002.0,11734.0,12305.0,12746.0,13157.0,13682.0,14190.0,Wilson & Grubler,World,Global,Natural Gas Power_Cumulative Total No. of Units_World
Natural Gas Power,World, Average Capacity of Unit Additions,MW,10.0,0.0,0.0,3.0,0.0,3.1,0.0,0.0,4.8,8.8,0.0,5.0,0.0,0.0,10.0,12.25,15.0,12.833333333333334,9.166666666666666,11.0,5.1625,17.95,13.583333333333334,8.444444444444443,14.923076923076923,17.294117647058822,16.198529411764707,22.619999999999997,27.6,11.0,4.0,3.0,3.6666666666666665,28.353333333333335,14.440000000000001,20.975,6.285475714285716,54.38333333333333,42.53333333333333,14.662235294117647,36.676923076923075,4.245,13.533999999999999,6.417999285714286,11.297236578947366,26.236642857142858,30.08,31.723492063492063,42.64389333333333,24.575432432432432,47.6158024691358,52.11476543209877,36.65630379746836,54.18927027027026,44.08332432432432,47.54751851851853,65.89554666666668,61.57373750000001,51.198924731182785,44.09213906976745,45.05624468085107,55.470060000000004,61.26923076923076,60.834037037037035,76.32023611111111,54.18973417721522,59.609536842105236,63.716502538071076,68.18505076142131,81.24845977678572,86.69447727272724,93.09932240437158,85.2935164835165,88.79227848101266,79.06181645569623,48.228302197802215,86.92239310344827,57.203506493506495,47.21882417582418,31.20758515283843,47.53380076628353,31.23867753623189,26.76321276595744,22.96177488745981,13.767483168141595,14.988421985815604,18.983225159574474,12.968714939024355,15.780875829145709,20.162840412979335,32.602457059773826,26.87534681360201,30.323685792349725,38.981651488616436,43.241895691609976,42.63558880778586,48.37586476190475,86.71711614173232,Wilson & Grubler,World,Global,Natural Gas Power_ Average Capacity of Unit Additions_World
Natural Gas Power,World,Maximum Capacity of Unit Additions,MW,10.0,0.0,0.0,3.0,0.0,3.1,0.0,0.0,4.8,8.8,0.0,5.0,0.0,0.0,15.0,25.0,30.0,23.0,21.0,20.0,13.0,32.5,25.0,25.0,30.0,77.0,36.0,60.0,41.0,25.0,4.0,3.0,5.0,50.0,50.0,75.0,30.0,466.0,184.0,73.0,98.0,15.0,63.0,25.0,65.0,110.8,420.0,103.5,450.0,112.5,260.0,200.0,187.9,400.0,511.0,247.8,376.2,710.0,359.0,359.0,404.8,454.8,526.7,544.6,800.0,702.0,1172.0,765.0,895.1,799.2,895.1,781.5,850.5,639.0,850.5,506.0,815.4,1200.0,863.3,400.0,800.0,800.0,800.0,800.0,800.0,800.0,1000.0,500.0,330.0,600.0,1000.0,250.0,330.0,350.0,414.0,627.0,627.0,735.0,Wilson & Grubler,World,Global,Natural Gas Power_Maximum Capacity of Unit Additions_World
