Technology Name,Country Name,Metric,Unit,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,Data Source,Country Code,Spatial Scale,ID
Refrigerators,US,Cumulative Total Capacity,MW,1.253082196940078,2.6453957490957203,4.192410807046434,5.911316426991671,7.821211560264157,9.943317263900251,12.30121249016258,14.9210960748985,17.83207783571619,21.066502014402513,24.660306657387316,28.65342292737043,33.09021878290722,38.01999195572588,43.497517703302165,49.58365742283137,56.346034888974934,63.859787629134445,72.20840178486723,81.48463973568144,91.79157079214168,103.24371641043084,115.96832265297434,130.10677403357823,145.81616445647145,163.2710427041306,182.6653518681963,204.21458427271375,228.15817583328868,254.7621664561497,284.3221560371064,317.1665889048361,353.6604032023135,398.3455379596371,452.61877815011087,518.0591455396531,596.478183947929,689.9521367199698,800.8584041044112,931.916834375959,1086.2364727763868,1267.3684713556709,1479.3659516547864,1726.851712098149,2015.0947843190593,2350.096968953972,2738.690623425489,3188.649133812918,3708.8116822399006,4309.22412271045,5001.298004710449,5797.990038203598,6714.004579299483,7738.59636765564,8912.517381354271,10211.671600532354,11328.42768957345,12159.722702130526,13024.596893911348,14001.412486377101,14926.494897336006,15825.783326559751,16576.90396582916,17313.744373363406,17947.5398037287,18730.0062124045,19551.302746651076,20331.74616331774,21184.811597107695,21996.53014356888,22877.20062028121,23755.66050487025,24514.43685875153,25263.681776902216,26120.38112028121,26935.823370052898,27796.55868032687,28605.907335007236,29398.177874733265,30229.159853957008,30976.649827815454,31726.41812331912,32482.012435204026,33170.65658205483,33794.332868561796,34418.202919339514,,,,,,,Wilson & Grubler,US,National,Refrigerators_Cumulative Total Capacity_US
Refrigerators,World,Cumulative Total Capacity,MW,7.7237089209324665,16.305607721968542,25.841050834230845,36.4359876256334,48.20813961608069,61.28830849435546,75.82182947021631,91.9701861100617,109.91280459877879,129.84904736402,152.00042821428804,176.61307360347473,203.96045736923773,234.3464393311966,268.1086415111509,305.62219948887787,347.30393057524117,393.61696511564486,445.07589238276006,502.2524782351103,565.782018071055,636.370395666549,714.8019263282091,801.9480715078314,898.7771217074118,1006.3649552625011,1125.9069925459337,1258.7314784164143,1406.3142404947262,1570.295087248406,1752.496028085828,1954.9415179051857,2179.8809510378055,2455.309789465963,2789.8374927967593,3193.1967860896916,3676.5536065791857,4252.7054381694925,4936.306026284378,5744.119886798561,6695.310455700605,7811.766213119719,9118.469663060907,10643.91466611649,12420.578314954593,14485.454320945979,16880.655755447668,19654.095972869465,22860.257648002233,26561.061102097567,30826.844487577564,35737.46996877344,41383.57179676428,47492.82140986469,54399.94958159072,62068.921760860125,69579.3510184172,76477.67568711583,83661.9577124309,90908.29328092062,98156.93168603478,105089.97003444002,111522.14194380074,117497.80213020029,123286.8285057117,129251.76575451421,135176.0002394868,140982.73063257014,147129.8160351432,153208.3919794756,160353.21938881167,167315.69247015208,174019.64607541508,179690.3147671509,184718.54493349793,189450.67269894338,194402.64919307386,199159.51975643414,204042.17249373414,208872.8613727701,213439.74245990766,218017.6718438304,222705.00950553425,227122.98614692714,231789.1205371044,236870.9491519103,242295.12317189705,247607.57406705324,253126.60339405262,258676.11182113754,264133.2456875823,269772.0303674103,Wilson & Grubler,World,Global,Refrigerators_Cumulative Total Capacity_World
Refrigerators,US,Cumulative Total No. of Units, #,21954.000090390167,46347.333524157024,73451.03733945353,103566.26380089407,137027.62653582802,174206.9184635324,215517.2428276484,261417.60323222174,312418.0036817476,369085.11529233196,432048.57263742574,502007.96968752984,579740.6330765345,666110.2590643173,762076.5101618539,868705.6780480056,987182.5312548408,1118823.4792624356,1265091.199270874,1427610.8881691392,1608188.3202783223,1808829.9115107483,2031765.0128801106,2279470.681068291,2554699.2012773803,2860508.6681763683,3200296.964730799,3577839.5164579446,3997331.2405992174,4463433.156311743,4981324.173770105,5556758.637612728,6196130.264104533,6906543.18242876,7695890.869455679,8572943.855041144,9547447.172358328,10630228.636044089,11833319.151250489,13170086.390368711,14655383.322722292,16305713.247559603,18139413.1640455,20176857.515696503,22440684.573086504,24956047.970186505,27750896.189186502,30856283.099186506,34306712.99918651,38140523.99918651,42400313.99918651,47133413.99918651,52392413.99918651,58083413.99918651,64398413.99918651,71172413.99918652,77154413.99918652,81731413.99918652,86642413.99918652,92349413.99918652,97935413.99918652,103687413.99918652,108827413.99918652,114236413.99918652,118905413.99918652,124807413.99918652,131124413.99918652,137543413.99918652,144483413.99918652,151714413.99918652,159682413.99918652,167695413.99918652,174710413.99918652,182309413.99918652,191985413.99918652,202291413.99918652,213567413.99918652,224572413.99918652,235704413.99918652,247796413.99918652,259075413.99918652,270791413.99918646,283146413.99918646,294922413.99918646,306067413.99918646,317706413.99918646,364912000.0,376731000.0,389122000.0,,,,Wilson & Grubler,US,National,Refrigerators_Cumulative Total No. of Units_US
Refrigerators,World,Cumulative Total No. of Units, #,135319.38029473682,285674.24728888884,452735.21061572444,638358.5032010972,844606.6060737338,1073771.1648211076,1328398.45231819,1611317.660648281,1925672.3365706042,2274955.3098176303,2663047.502314326,3094261.049532877,3573387.2131090444,4105749.617082563,4697263.3992753625,5354500.93504514,6084764.863678225,6896169.228826097,7797729.634545957,8799463.418679131,9912500.956604883,11149209.33207794,12523329.749270227,14050130.21281721,15746575.172313858,17631514.016199023,19725890.509404764,22052975.501855586,24638625.493467607,27511569.92859208,30703730.412063714,34250575.39369886,38191514.26218236,42570335.22716402,47435691.85492143,52841643.66354077,58848256.78422893,65522271.362771325,72937843.11670731,81177367.2877473,90332394.1444584,100504646.20747074,111807148.49970667,124365484.3799688,138319190.9135934,153823309.28428742,171050107.47394744,190190994.35134745,211458646.43734747,235089370.97734746,261345731.57734746,290519465.5773475,322934725.5773475,356867985.5773475,394024245.5773475,434011505.5773475,474241765.5773475,512223025.5773476,553017408.5773475,595353789.5773475,639123829.5773476,683468708.5773475,727484758.5773476,771350900.5773476,813997096.5773476,858989519.5773475,904555752.5773475,952315015.5773476,1002323808.5773475,1056473344.5773476,1121117256.5773478,1184626470.5773475,1246605516.5773478,1304118634.5773478,1360910034.5773475,1420717223.5773475,1485590229.5773478,1550271081.5773475,1618876043.5773478,1689169613.5773478,1758080038.5773478,1829615499.5773478,1906259878.5773475,1981808466.5773475,2065191575.5773475,2159998824.5773473,2265521104.0773478,2373137994.0773478,2489362944.2773476,2610618717.9773474,2734060668.477347,2865779780.777347,Wilson & Grubler,World,Global,Refrigerators_Cumulative Total No. of Units_World
Refrigerators,US, Average Capacity of Unit Additions,MW,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,6.290022831050159e-05,6.875707762556972e-05,7.461392694063785e-05,8.047077625570766e-05,8.632762557077579e-05,9.218447488584393e-05,9.804132420091207e-05,0.00010389817351598186,0.00010975502283104998,0.00011561187214611812,0.00012146872146118625,0.0001273255707762544,0.0001331824200913242,0.00013903926940639233,0.00014489611872146047,0.0001507529680365286,0.00015660981735159837,0.0001624666666666665,0.00016832351598173464,0.00017418036529680278,0.00018003721461187092,0.0001858940639269407,0.00019178538812785387,0.0001866860730593607,0.00018162442922374427,0.00017610958904109588,0.00017116095890410958,0.00016560730593607307,0.00015634360730593607,0.00014613242009132418,0.00013622488584474885,0.00013574543378995434,0.00013257648401826484,0.00013001369863013698,0.00012158333333333333,0.0001229200913242009,0.00011225536529680364,0.00011052591324200914,0.00010962933789954338,0.0001081648401826484,9.85978310502283e-05,8.853858447488585e-05,7.91230593607306e-05,7.633339041095891e-05,7.354372146118722e-05,7.117054794520547e-05,6.872163242009132e-05,6.627271689497717e-05,6.399524543390791e-05,6.115696575353347e-05,5.847861301382476e-05,5.596018721462232e-05,5.360168835619192e-05,5.140311643842727e-05,4.936447146127519e-05,4.7485753424735696e-05,4.576696232886194e-05,4.420809817360076e-05,4.2809160959005316e-05,Wilson & Grubler,US,National,Refrigerators_ Average Capacity of Unit Additions_US
Refrigerators,World, Average Capacity of Unit Additions,MW,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,5.7077625570776254e-05,6.290022831050159e-05,6.875707762556972e-05,7.461392694063785e-05,8.047077625570766e-05,8.632762557077579e-05,9.218447488584393e-05,9.804132420091207e-05,0.00010389817351598186,0.00010975502283104998,0.00011561187214611812,0.00012146872146118625,0.0001273255707762544,0.0001331824200913242,0.00013903926940639233,0.00014489611872146047,0.0001507529680365286,0.00015660981735159837,0.0001624666666666665,0.00016832351598173464,0.00017418036529680278,0.00018003721461187092,0.0001858940639269407,0.00019178538812785387,0.0001866860730593607,0.00018162442922374427,0.00017610958904109588,0.00017116095890410958,0.00016560730593607307,0.00015634360730593607,0.00014613242009132418,0.00013622488584474885,0.00013574543378995434,0.00013257648401826484,0.00013001369863013698,0.00012158333333333333,0.0001229200913242009,0.00011225536529680364,0.00011052591324200914,0.00010962933789954338,0.0001081648401826484,9.85978310502283e-05,8.853858447488585e-05,7.91230593607306e-05,7.633339041095891e-05,7.354372146118722e-05,7.117054794520547e-05,6.872163242009132e-05,6.627271689497717e-05,6.399524543390791e-05,6.115696575353347e-05,5.847861301382476e-05,5.596018721462232e-05,5.360168835619192e-05,5.140311643842727e-05,4.936447146127519e-05,4.7485753424735696e-05,4.576696232886194e-05,4.420809817360076e-05,4.2809160959005316e-05,Wilson & Grubler,World,Global,Refrigerators_ Average Capacity of Unit Additions_World
Refrigerators,US,Maximum Capacity of Unit Additions,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilson & Grubler,US,National,Refrigerators_Maximum Capacity of Unit Additions_US
Refrigerators,World,Maximum Capacity of Unit Additions,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilson & Grubler,World,Global,Refrigerators_Maximum Capacity of Unit Additions_World
