Year of Project Year,Technology Mid-Type,Country,Technology Broad Category,Technology Sub-Type,Subsystem 1 - Technology Broad Category,Subsystem 1 - Technology Mid-Type,Subsystem 1 - Technology Sub-Type,Discharge Duration at Rated Power (hrs),Rated Capacity (kWh),Rated Power (kW),Storage Capacity (kWh)
2007,Technology Mid-Type Unknown,United States,Thermal energy storage,Technology Sub-Type Unknown,Thermal energy storage,,,0.5,32000,64000,32000
2009,Technology Mid-Type Unknown,Sweden,Thermal energy storage,Technology Sub-Type Unknown,Thermal energy storage,,,0,,10000,0
2011,Technology Mid-Type Unknown,United States,Electro-mechanical energy storage,Technology Sub-Type Unknown,Electro-mechanical energy storage,,,0,,430,0
2011,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,0,,1500,0
2013,Technology Mid-Type Unknown,Spain,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,0,,0,0
2013,Technology Mid-Type Unknown,Australia,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,1,163,163,163
2013,Technology Mid-Type Unknown,Japan,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,2,28,14,28
2014,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,0,,85000,0
2014,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,4,2000,500,2000
2015,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,2,258,129,258
2015,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,5,25000,5000,25000
2015,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,1,512,512,512
2015,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,0,,2000,0
2015,Technology Mid-Type Unknown,Germany,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,0,,0,0
2015,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,1.67,10020,6000,10020
2015,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,2,78,39,78
2015,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,2,1966,983,1966
2015,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,1.5,300,200,300
2015,Technology Mid-Type Unknown,British Virgin Islands,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,0.5,500,1000,500
2015,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,0,,0,0
2015,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,0,,0,0
2015,Technology Mid-Type Unknown,Australia,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,10,50,5,50
2015,Technology Mid-Type Unknown,Australia,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,5,50,10,50
2015,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,0,,10000,0
2015,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,0,,2800,0
2015,Technology Mid-Type Unknown,Australia,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,10,20,2,20
2015,Technology Mid-Type Unknown,United Kingdom,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,1,250,250,250
2015,Technology Mid-Type Unknown,Australia,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,1.6,64,40,64
2016,Technology Mid-Type Unknown,Canada,Thermal energy storage,Technology Sub-Type Unknown,Thermal energy storage,,,4,6000,1500,6000
2016,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,0,,0,0
2016,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,4,6000,1500,6000
2016,Technology Mid-Type Unknown,India,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,4,400000,100000,400000
2016,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,0.5,8100,16200,8100
2016,Technology Mid-Type Unknown,Germany,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,1.5,4500,3000,4500
2016,Technology Mid-Type Unknown,United Kingdom,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,2.13,639,300,639
2016,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,1,500,500,500
2016,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,2,500,250,500
2016,Technology Mid-Type Unknown,Australia,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,0,,0,0
2017,Technology Mid-Type Unknown,Canada,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,4,20000,5000,20000
2017,Technology Mid-Type Unknown,Chile,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,1.83,329.4,180,329.4
2017,Technology Mid-Type Unknown,Australia,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,0,,0,0
2017,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,1,2600,2600,2600
2018,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,0,,50000,0
2018,Technology Mid-Type Unknown,Netherlands,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,1,3750,3750,3750
2000,Flow battery,Japan,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,0.27,810,3000,810
2003,Flow battery,Australia,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,4,800,200,800
2004,Flow battery,United States,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,8,2000,250,2000
2005,Flow battery,Japan,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,1.5,6000,4000,6000
2007,Flow battery,Denmark,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,8,120,15,120
2010,Flow battery,United States,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,8,8640,1080,8640
2010,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-bromine flow battery,3,300,100,300
2010,Flow battery,Australia,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-bromine flow battery,5,500,100,500
2010,Flow battery,Italy,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,10,100,10,100
2010,Flow battery,Netherlands,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,8,80,10,80
2011,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-bromine flow battery,2,500,250,500
2011,Flow battery,China,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,2,1000,500,1000
2011,Flow battery,Germany,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,2.5,650,260,650
2011,Flow battery,China,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,4,8000,2000,8000
2012,Flow battery,New Zealand,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-bromine flow battery,2.67,8.01,3,8.01
2012,Flow battery,Italy,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,4,2000,500,2000
2012,Flow battery,Italy,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,4,4000,1000,4000
2012,Flow battery,South Korea,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,2,200,100,200
2012,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-bromine flow battery,3.33,416.25,125,416.25
2012,Flow battery,Japan,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,5,5000,1000,5000
2012,Flow battery,United States,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,6,3600,600,3600
2012,Flow battery,Indonesia,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,1.25,500,400,500
2012,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-bromine flow battery,2,1000,500,1000
2012,Flow battery,Australia,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-bromine flow battery,2,180,90,180
2012,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-bromine flow battery,2.5,150,60,150
2012,Flow battery,Australia,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-bromine flow battery,2,200,100,200
2012,Flow battery,Australia,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-bromine flow battery,2,400,200,400
2012,Flow battery,India,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,6.67,300.15,45,300.15
2013,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-bromine flow battery,4,112000,28000,112000
2013,Flow battery,Israel,Electro-chemical battery and chemical storage,Hydrogen-bromine flow battery,Electro-chemical battery and chemical storage,Flow battery,Hydrogen-bromine flow battery,2,100,50,100
2013,Flow battery,Austria,Electro-chemical battery and chemical storage,Zinc-iron flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-iron flow battery,2.83,181.12,64,181.12
2013,Flow battery,Australia,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-bromine flow battery,2,50,25,50
2013,Flow battery,Australia,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-bromine flow battery,2.5,300,120,300
2013,Flow battery,South Korea,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,2,100,50,100
2013,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-bromine flow battery,2,1000,500,1000
2013,Flow battery,United Kingdom,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,16.8,1680,100,1680
2013,Flow battery,China,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,2,10000,5000,10000
2013,Flow battery,Portugal,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,12,60,5,60
2013,Flow battery,Germany,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,8,1600,200,1600
2013,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-nickel oxide flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-nickel oxide flow battery,2,200,100,200
2013,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-bromine flow battery,2,50,25,50
2014,Flow battery,Australia,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,4.33,129.9,30,129.9
2014,Flow battery,China,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,10,600,60,600
2014,Flow battery,United States,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,4.33,389.7,90,389.7
2014,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-bromine flow battery,4,1000,250,1000
2014,Flow battery,China,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,20,200,10,200
2014,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-bromine flow battery,2,500,250,500
2014,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-bromine flow battery,2,50,25,50
2014,Flow battery,China,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,2,4000,2000,4000
2014,Flow battery,French Polynesia,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-bromine flow battery,2,2000,1000,2000
2014,Flow battery,China,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,4,400,100,400
2014,Flow battery,China,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,4,800,200,800
2014,Flow battery,China,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,5,300,60,300
2014,Flow battery,United States,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,3,1800,600,1800
2014,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-bromine flow battery,2,50,25,50
2014,Flow battery,Russia,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-bromine flow battery,2,50,25,50
2014,Flow battery,United States,Electro-chemical battery and chemical storage,Iron-chromium flow battery,Electro-chemical battery and chemical storage,Flow battery,Iron-chromium flow battery,4,1000,250,1000
2014,Flow battery,Germany,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,3.8,1235,325,1235
2014,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-iron flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-iron flow battery,2,160,80,160
2014,Flow battery,Japan,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,10,300,30,300
2014,Flow battery,United States,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,4,80,20,80
2014,Flow battery,Switzerland,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,6,60,10,60
2014,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-bromine flow battery,2,50,25,50
2015,Flow battery,Kazakhstan,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-bromine flow battery,4,100000,25000,100000
2015,Flow battery,Slovenia,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,4.5,45,10,45
2015,Flow battery,United States,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,4,1000,250,1000
2015,Flow battery,Czech Republic,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,4.33,129.9,30,129.9
2015,Flow battery,United States,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,4,120,30,120
2015,Flow battery,Germany,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,4,40,10,40
2015,Flow battery,United Kingdom,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,4,160,40,160
2015,Flow battery,Australia,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-bromine flow battery,2.2,660,300,660
2015,Flow battery,Germany,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,4,120,30,120
2015,Flow battery,Germany,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,10,100,10,100
2015,Flow battery,Czech Republic,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,4,40,10,40
2015,Flow battery,Japan,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,4,60000,15000,60000
2015,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-iron flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-iron flow battery,0,,48,0
2015,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-bromine flow battery,3.6,72,20,72
2015,Flow battery,United States,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,3.2,3200,1000,3200
2015,Flow battery,United Kingdom,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,8,40,5,40
2015,Flow battery,India,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,4,120,30,120
2015,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-bromine flow battery,4,1000,250,1000
2015,Flow battery,Switzerland,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,2,400,200,400
2015,Flow battery,Germany,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,2,400,200,400
2015,Flow battery,Antigua and Barbuda,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,4,12000,3000,12000
2016,Flow battery,Canada,Electro-chemical battery and chemical storage,Zinc-iron flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-iron flow battery,3,6000,2000,6000
2016,Flow battery,Italy,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,Flow battery,,3.2,1440,450,1440
2016,Flow battery,Australia,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-bromine flow battery,4.8,480,100,480
2016,Flow battery,Canada,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,4,8000,2000,8000
2016,Flow battery,South Africa,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,4,2500,625,2500
2016,Flow battery,China,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,4,8000,2000,8000
2016,Flow battery,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,Flow battery,,6,60,10,60
2016,Flow battery,Australia,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,10,100,10,100
2016,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-bromine flow battery,6,3000,500,3000
2016,Flow battery,United States,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,4,8000,2000,8000
2016,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-iron flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-iron flow battery,2.5,320,128,320
2016,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-bromine flow battery,6,3000,500,3000
2017,Flow battery,Germany,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,Flow battery,,4.4,880,200,880
2017,Flow battery,Canada,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,4,20000,5000,20000
2017,Flow battery,Australia,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,3.33,999,300,999
2017,Flow battery,Germany,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,Flow battery,,4,800,200,800
2017,Flow battery,South Korea,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,6,600,100,600
2018,Flow battery,China,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Electro-chemical battery and chemical storage,Flow battery,Vanadium redox flow battery,4,800000,200000,800000
2018,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-iron flow battery,Electro-chemical battery and chemical storage,Flow battery,Zinc-iron flow battery,2,2000,1000,2000
2007,Heat thermal storage,Spain,Thermal energy storage,Technology Sub-Type Unknown,Thermal energy storage,Heat thermal storage,,0.5,5500,11000,5500
2008,Heat thermal storage,Germany,Thermal energy storage,Technology Sub-Type Unknown,Thermal energy storage,Heat thermal storage,,1.5,2250,1500,2250
2009,Heat thermal storage,Spain,Thermal energy storage,Technology Sub-Type Unknown,Thermal energy storage,Heat thermal storage,,1,20000,20000,20000
2009,Heat thermal storage,United States,Thermal energy storage,Technology Sub-Type Unknown,Thermal energy storage,Heat thermal storage,,2,4000,2000,4000
2011,Heat thermal storage,India,Thermal energy storage,Technology Sub-Type Unknown,Thermal energy storage,Heat thermal storage,,16,16000,1000,16000
2011,Heat thermal storage,United States,Thermal energy storage,Technology Sub-Type Unknown,Thermal energy storage,Heat thermal storage,,1,100,100,100
2011,Heat thermal storage,United States,Thermal energy storage,Technology Sub-Type Unknown,Thermal energy storage,Heat thermal storage,,5,875,175,875
2011,Heat thermal storage,Australia,Thermal energy storage,Technology Sub-Type Unknown,Thermal energy storage,Heat thermal storage,,24,72000,3000,72000
2012,Heat thermal storage,Chile,Thermal energy storage,Technology Sub-Type Unknown,Thermal energy storage,Heat thermal storage,,6.5,68250,10500,68250
2012,Heat thermal storage,United States,Thermal energy storage,Technology Sub-Type Unknown,Thermal energy storage,Heat thermal storage,,5,10050,2010,10050
2012,Heat thermal storage,China,Thermal energy storage,Technology Sub-Type Unknown,Thermal energy storage,Heat thermal storage,,1,1500,1500,1500
2013,Heat thermal storage,France,Thermal energy storage,Technology Sub-Type Unknown,Thermal energy storage,Heat thermal storage,,1,12000,12000,12000
2013,Heat thermal storage,United States,Thermal energy storage,Technology Sub-Type Unknown,Thermal energy storage,Heat thermal storage,,5,1500,300,1500
2013,Heat thermal storage,United States,Thermal energy storage,Technology Sub-Type Unknown,Thermal energy storage,Heat thermal storage,,8,120,15,120
2014,Heat thermal storage,United Kingdom,Thermal energy storage,Technology Sub-Type Unknown,Thermal energy storage,Heat thermal storage,,4,5600,1400,5600
2014,Heat thermal storage,United States,Thermal energy storage,Technology Sub-Type Unknown,Thermal energy storage,Heat thermal storage,,6,30,5,30
2014,Heat thermal storage,Morocco,Thermal energy storage,Technology Sub-Type Unknown,Thermal energy storage,Heat thermal storage,,9,5850,650,5850
2015,Heat thermal storage,United States,Thermal energy storage,Technology Sub-Type Unknown,Thermal energy storage,Heat thermal storage,,0,,0,0
2016,Heat thermal storage,South Africa,Thermal energy storage,Technology Sub-Type Unknown,Thermal energy storage,Heat thermal storage,,2,100000,50000,100000
2016,Heat thermal storage,France,Thermal energy storage,Technology Sub-Type Unknown,Thermal energy storage,Heat thermal storage,,1,9000,9000,9000
2017,Heat thermal storage,Australia,Thermal energy storage,Technology Sub-Type Unknown,Thermal energy storage,Heat thermal storage,,3,3300,1100,3300
1991,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,12,53100,4425,53100
1997,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,8,7440,930,7440
1998,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,900,150,900
1999,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,0,0
2000,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,7,3500,500,3500
