KEY,FREQ,REF_AREA,ADJUSTMENT,ICP_ITEM,STS_INSTITUTION,ICP_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DATA_COMP,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
ICP.M.DE.N.000000.4.INX,M,DE,N,0,4,INX,1985-01,,,,,ECB estimate,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.DE.00.M,,,,2015 = 100,,,1,,HICP - Overall index,"Germany - HICP - Overall index, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.DE.N.000000.4.INX,M,DE,N,0,4,INX,1985-02,,,,,ECB estimate,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.DE.00.M,,,,2015 = 100,,,1,,HICP - Overall index,"Germany - HICP - Overall index, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.DE.N.000000.4.INX,M,DE,N,0,4,INX,1985-03,,,,,ECB estimate,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.DE.00.M,,,,2015 = 100,,,1,,HICP - Overall index,"Germany - HICP - Overall index, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.DE.N.000000.4.INX,M,DE,N,0,4,INX,1985-04,,,,,ECB estimate,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.DE.00.M,,,,2015 = 100,,,1,,HICP - Overall index,"Germany - HICP - Overall index, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.DE.N.000000.4.INX,M,DE,N,0,4,INX,1985-05,,,,,ECB estimate,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.DE.00.M,,,,2015 = 100,,,1,,HICP - Overall index,"Germany - HICP - Overall index, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.DE.N.000000.4.INX,M,DE,N,0,4,INX,1985-06,,,,,ECB estimate,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.DE.00.M,,,,2015 = 100,,,1,,HICP - Overall index,"Germany - HICP - Overall index, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.DE.N.000000.4.INX,M,DE,N,0,4,INX,1985-07,,,,,ECB estimate,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.DE.00.M,,,,2015 = 100,,,1,,HICP - Overall index,"Germany - HICP - Overall index, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.DE.N.000000.4.INX,M,DE,N,0,4,INX,1985-08,,,,,ECB estimate,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.DE.00.M,,,,2015 = 100,,,1,,HICP - Overall index,"Germany - HICP - Overall index, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.DE.N.000000.4.INX,M,DE,N,0,4,INX,1985-09,,,,,ECB estimate,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.DE.00.M,,,,2015 = 100,,,1,,HICP - Overall index,"Germany - HICP - Overall index, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.DE.N.000000.4.INX,M,DE,N,0,4,INX,1985-10,,,,,ECB estimate,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.DE.00.M,,,,2015 = 100,,,1,,HICP - Overall index,"Germany - HICP - Overall index, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.DE.N.000000.4.INX,M,DE,N,0,4,INX,1985-11,,,,,ECB estimate,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.DE.00.M,,,,2015 = 100,,,1,,HICP - Overall index,"Germany - HICP - Overall index, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.DE.N.000000.4.INX,M,DE,N,0,4,INX,1985-12,,,,,ECB estimate,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.DE.00.M,,,,2015 = 100,,,1,,HICP - Overall index,"Germany - HICP - Overall index, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.DE.N.000000.4.INX,M,DE,N,0,4,INX,1996-01,75.1,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.DE.00.M,,,,2015 = 100,,,1,,HICP - Overall index,"Germany - HICP - Overall index, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.DE.N.000000.4.INX,M,DE,N,0,4,INX,1996-02,75.6,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.DE.00.M,,,,2015 = 100,,,1,,HICP - Overall index,"Germany - HICP - Overall index, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.DE.N.000000.4.INX,M,DE,N,0,4,INX,1996-03,75.7,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.DE.00.M,,,,2015 = 100,,,1,,HICP - Overall index,"Germany - HICP - Overall index, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
