ID,1860,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,Unit,Technology Name,Country Name,Country Code,Spatial Scale,Data Source,Metric
Sulphuric Acid_Annual Production_FR,,,,125,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,625,,,,,,,,,,,,,900,,,,,,,,,,,,1500,,,,1032,,,,,,,,,1272,,… ,458,365,342,153,277,840,1069,1275,1151,1215,1450,1191,1180,1378,1473,1535,1600,1786,1890,2046,2205,2271,2394,2702,2916,3073,3227,3349,3527,3682,3923,4114,4383,4689,3758,3959,4501,4584,4957,4952,4412,4166,4325,4531,4322,3956,3960,4081,4187,3771,3627,2871,2357,2227,2382,2263,2250,2214,2177,2181,2051,1930,1624,thousand metric tons,Sulphuric Acid,France,FR,National,Mitchell,Annual Production
