ID,1899,1904,1909,1914,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,Unit,Technology Name,Country Name,Country Code,Spatial Scale,Data Source,Metric
Sulphuric Acid_Annual Production_PE,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,5.9,5.9,5.9,2.6,2.8,6.1,3.6,8.4,10.0,10.0,10.0,12.0,12.0,10.0,13.0,16.0,18.0,30.0,29.0,29.0,33.0,37.0,38.0,39.0,37.0,46.0,56.0,60.0,19.0,61.0,67.0,54.0,54.0,57.0,63.0,58.0,68.0,62.0,184.0,227.0,210.0,205.0,213.0,209.0,212.0,174.0,193.0,172.0,207.0,143.0,229.0,215.0,211.0,230.0,410.0,541.0,592.0,594.0,623.0,574.0,633.0,,,,,,thousands metric tons,Sulphuric Acid,Peru,PE,National,Mitchell,Annual Production
