ID,1860,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,Unit,Technology Name,Country Name,Country Code,Spatial Scale,Data Source,Metric
Sulphuric Acid_Annual Production_NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.0,,,,,,,,,,,,350.0,,,,375.0,320.0,380.0,430.0,460.0,380.0,280.0,360.0,430.0,474.0,460.0,195.0,57.0,72.0,92.0,,,276.0,312.0,376.0,396.0,438.0,542.0,559.0,584.0,687.0,690.0,720.0,715.0,761.0,812.0,860.0,827.0,818.0,854.0,976.0,1090.0,1058.0,1170.0,1376.0,1511.0,1562.0,1496.0,1537.0,1546.0,1674.0,1292.0,1402.0,1572.0,1680.0,1744.0,1726.0,1726.0,1609.0,1451.0,1609.0,1508.0,1209.0,956.0,1144.0,,,,,,,500.0,418.0,356.0,429.0,485.0,1000.0,1000.0,1000.0,,thousand metric tons,Sulphuric Acid,Netherlands,NL,National,Mitchell,Annual Production
