ID,1860,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,Unit,Technology Name,Country Name,Country Code,Spatial Scale,Data Source,Metric
Sulphuric Acid_Annual Production_RU,5,7,,,,,8,,,,,16,,,,,23,,,,,37,,,44,,40,,37,44,,52,,60,,,106,,,,,178,,,,,250,275,284,206.5,,,,,,17,,11,···,45,89,100,145,176,211,265,396,464,552,627,782,994,1197,1369,1544,1625,1587,,,,,781,725,996,1479,1845,2125,2372,2662,2919,3292,3798,4323,4569,4803,5081,5398,5718,6132,6885,7647,8518,9367,9734,10159,10665,12059,12775,13685,14855,16663,18645,20015,21104,22411,22364,23033,24095,23801,24714,25338,26037,27847,28531,29372,28726,27267,11597,9704,8243,6334,6946,5764,6247,5840,7148,8258,8209,8458,8759,thousand metric tons,Sulphuric Acid,Russia,RU,National,Mitchell,Annual Production
