ID,1860,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,Unit,Technology Name,Country Name,Country Code,Spatial Scale,Data Source,Metric
Sulphuric Acid_Annual Production_AT,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,49.0,,,,,,,,,,100.0,,,,,,113.0,,,,,,,350.0,,,,,,,,,,,,44.0,,,,,,,,,,,,28.0,32.0,35.0,22.0,24.0,24.0,43.0,54.0,6.0,4.0,6.0,6.0,8.0,9.0,10.0,16.0,28.0,35.0,69.0,74.0,80.0,117.0,121.0,140.0,150.0,160.0,200.0,217.0,193.0,229.0,241.0,269.0,277.0,289.0,286.0,300.0,303.0,,thousand metric tons,Sulphuric Acid,Austria,AT,National,Mitchell,Annual Production
