ID,1910,1911,1912,1913,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,Unit,Technology Name,Country Name,Country Code,Spatial Scale,Data Source,Metric
Synthetic Filaments_Annual Production_NL,,,,,,,,1.1,1.8,2.0,2.7,4.5,5.8,6.8,8.0,8.0,8.5,9.0,8.7,9.9,9.6,10.0,10.9,9.3,,,,,12.0,9.4,,9.5,20.5,25.8,29.8,33.3,36.7,32.8,38.1,42.8,46.3,45.5,47.8,48.8,52.6,58.4,60.4,64.8,75.5,89.2,102.5,110.4,97.2,113.0,128.0,126.0,142.0,149.0,,,,,,,,,,,,,,,,,,,,,,thousand metric tons,Synthetic Filaments,Netherlands,NL,National,Mitchell,Annual Production
